scientific_name,season,forest_types,substrate,description
Boletus erythropus,травень — жовтень.,"хвойні (соснові) та листяні (букові) ліси, на грунті.",,"• Шапка: 5–15 (20) см, напівсферична, згодом опукло- або плоско-розпростерта; бурувато- або темно-коричнева, іноді з вохряним або оранжевим відтінком; тонковолокнисто-повстиста, згодом майже гола; при натискуванні синіє. • Трубочки/пори: пори спочатку жовті, згодом оранжево-червоні, далі оливково-пурпурові; при дотику синіють. • Ніжка: 7–15 × 2–4 (6) см, щільна, жовто-червона, повстисто-зерниста; при дотику синіє. • М’якоть: дуже щільна, жовта, на зламі швидко синіє; запах приємний; смак добрий. • Споровий порошок: оливковий."
Boletus purpureus,липень — вересень.,"вологі листяні (дубові, букові) ліси, зрідка.",,"• Шапка: 5–15 (20) см, товстом’ясиста, напівкуляста, подушковидна; сірувата, попеляста, оливкувато- або жовтувато-сіра, іноді вся або лише до краю рожевувата; при дотику синіє, згодом червоніє. • Трубочки/пори: пори жовті, згодом червоні, пурпурово-червоні. • Ніжка: 5–14 × 2–6 см, дуже щільна, жовто-червона, донизу червона, повстисто-зерниста, з червоною сіткою. • М’якоть: золотисто-жовтий, на зламі швидко дуже синіє; запах фруктово-спиртовий; смак добрий. • Споровий порошок: оливковий."
Gyroporus castaneus,липень — вересень.,"листяні та мішані ліси, під дубом, на піщаному грунті.",,"• Шапка: 3–8 (10–12) см, опукло- або плоско-розпростерта; каштаново- або іржаво-коричнева; суха, тонкоповстиста. • Трубочки/пори: пори білі, згодом жовтуваті, округлі, малі. • Ніжка: 4–7 × 1–3 см, кольору шапки, донизу злегка потовщується, з ум’ятинами, тонкоповстиста, з порожниною та перегородками всередині. • М’якоть: білий, не синіє на зламі. • Споровий порошок: жовтуватий."
Gyroporus cyanescens,липень — жовтень.,"хвойні та мішані ліси, на піщаному грунті, переважно під березою.",,"• Шапка: 5–10 (15) см, суха, опукло-розпростерта; спочатку білувата, потім світло-жовта, вохряна, жовта, у старих коричнювата; тонковолокнисто- або волосисто-лускато-повстиста. • Трубочки/пори: пори білі, згодом жовтуваті, при дотику синіють, округлі, потім овальні. • Ніжка: 4–8 (12) × 2–4 см, донизу розширена, у верхній частині біла, нижче кольору шапки, спочатку щільна, з віком з порожниною та перегородками. • М’якоть: щільний, білий, на зламі швидко синіє. • Споровий порошок: жовтуватий."
Gyrodon lividus,серпень — жовтень.,"листяні ліси, на вільсі, на вологих місцях, зрідка на гнилих пнях.",,"• Шапка: 5–10 см, опукло- або плоско-розпростерта, іноді ввігнута; сірувато-лимонна або сірувато-золотисто-жовта, рудувато-коричнювата; тонкоповстисто-волокниста, суха, при змочуванні клейкувата. • Трубочки/пори: трубочки дуже короткі (1–5 мм), жовті, з віком оливково-коричневі; пори неправильнокутасті, видовжені, лимонно- або золотисто-жовті, згодом зеленувато- або жовто-оливкові, з нерівними зубчастими краями; при дотику синіють, потім буріють. • Ніжка: 3–12 × 0,5–2,5 см, кольору шапки або світліша, борошниста, з віком гола; при натискуванні набуває рожево-коричнюватого кольору. • М’якоть: щільний, не швидко загниває, жовтуватий, у ніжці темніший, на зламі швидко синіє; смак приємний; без особливого запаху. • Споровий порошок: жовтувато-буро-оливковий."
Boletinus cavipes,серпень — жовтень.,"хвойні, переважно модринові, та мішані ліси.",,"• Шапка: 5–10 см, конусовидна, згодом конусовидно-розпростерта; золотисто-жовта, коричнювата, інколи з червонуватим відтінком; суха, повстисто-волокнисто-луската. • Трубочки/пори: трубочки короткі, до 1 см; пори нерівномірно видовжені, неправильнокутасті, розміщені майже радіальними рядами, жовтувато-зеленуваті або оливкуваті; гіменофор спускається на ніжку, не відділяється легко від тканини шапки. • Ніжка: 3–9 × 1–3 см, циліндрична, часто зігнута, волокнисто-луската, з кільцем, з порожниною. • М’якоть: жовтуватий, у ніжці біля основи буруватий; без особливого запаху. • Споровий порошок: жовтувато-оливкуватий."
Tylopilus felleus,червень — жовтень.,"мішані та хвойні ліси, на грунті.",,"• Шапка: 5–12 см, напівкуляста, згодом опукло- або подушковидно-розпростерта; бурувато- або оливкувато-коричнювата, іноді з легким червонуватим відтінком; тонковолокнисто-повстиста, з віком гола, суха, у вологу погоду клейкувата. • Трубочки/пори: пори спочатку білі, згодом рожевуваті, брудно- або бурувато-рожеві, іноді з лілуватим відтінком, у старих рожево-коричневі. • Ніжка: 5–10 (16) × 2–4 (5) см, жовтувато-коричнювата, з виразною темно-бурою або чорною сіткою. • М’якоть: дуже гіркий, білий, на зламі рожевіє; запах приємний. • Споровий порошок: рожевий, червонуватий, іноді з лілуватим відтінком."
Porphyrellus porphyrosporus,липень — жовтень.,"хвойні та мішані ліси, на грунті.",,"• Шапка: 5–10 (12) см, опукло-розпростерта; бурувато- або оливкувато-коричнева; волокнисто-бархатиста або тонкоповстиста. • Трубочки/пори: трубочки часом біля ніжки пластиковидно розділяються; пори округло-кутасті (0,5–1 мм), брудно-кремові, сіруваті, потім жовтувато-сірувато-коричневі, часом брудно-коричневі з оливковим відтінком. • Ніжка: 4–16 × 1–4 см, брудно-коричнева, борошнисто-бархатиста. • М’якоть: білий, білуватий, на зламі червоніє, згодом буріє (у старих екземплярів сіріє); запах неприємний. • Споровий порошок: темно-пурпурово-коричневий або коричнево-темно-червоний."
Gomphidius glutinosus,серпень — жовтень.,"соснові та ялинові ліси, здебільшого гірські, на грунті.",,"• Шапка: 5–10 (14) см, опукло-розпростерта, з опущеним краєм; пурпурово- або фіолетово-сіра, сірувато-коричнева, рудувато-лілувато-коричнева, іноді дуже слизька; шкірка легко знімається. • Пластинки: спускаються на ніжку, товсті, спочатку білі, згодом темніють до чорних з білуватим краєм. • Ніжка: 5–10 × 1–2,5 см, до основи потоншується, біла, згодом коричнева, біля основи зовні та в середині жовта, з кільцевидними залишками покривала. • М’якоть: у шапці білуватий або рожевуватий, у ніжці біля основи жовтий; без особливого запаху. • Споровий порошок: чорний."
Gomphidius roseus,серпень — вересень.,"соснові ліси, серед моху, на грунті.",,"• Шапка: 3–6 см, напівсферична, згодом опукло- або плоско-розпростерта, з підігнутим краєм; рожева або червона різних відтінків; слизька. • Пластинки: білі, з часом сіруваті й чорні. • Ніжка: 4–6 × 1–1,5 см, біла, донизу звужена, з товстим кільцевидним утворенням; біля основи м’ясо-червоно-коричнювата або чорнувата. • М’якоть: білий, на зламі рожевіє; із запахом. • Споровий порошок: чорний."
Gomphidius rutilus,серпень — вересень.,"хвойні ліси, під сосною та модриною, на грунті.",,"• Шапка: 5–10 (15) см, опукло-, згодом плоско- або увігнуто-розпростерта, з горбочком у центрі, з опущеним краєм; пурпурово-коричнева, лілувато-пурпурова; слизька. • Пластинки: спускаються на ніжку, товсті, спочатку жовті, з віком коричневіють до темно-оливкувато-коричневих. • Ніжка: 3–10 × 0,1–1 см, щільна, донизу звужена, жовто- або червоно-коричнева, вгорі здебільшого сірозерниста. • М’якоть: у шапці жовтуватий, оранжево-жовтий, з червоним відтінком, у ніжці біля основи оранжево-жовтий; без особливого запаху. • Споровий порошок: оливково-чорний."
Gomphidius maculatus,серпень — вересень.,"модринові насадження, на грунті.",,"• Шапка: 2,5–5 см, напівсферична, згодом опукло-розпростерта з підігнутим краєм; слизька; біла, потім м’ясо-червоно-коричнева, місцями темніша до чорно-коричневої. • Пластинки: білі, згодом сірувато-бурі, при дотику червоніють, потім чорніють. • Ніжка: 10–15 × 1–1,5 см, донизу потоншується, щільна, біла, з часом рожевіє, далі червоніє, вгорі сірувато-зерниста, біля основи жовта, при дотику чорніє, без залишків покривала. • М’якоть: білий, на зламі рожевіє, згодом темніє, у ніжці біля основи коричневіє; без запаху. • Споровий порошок: чорний."
Paxillus atrotomentosus,червень — жовтень.,"соснові ліси, на старих соснових пнях, зрідка біля них на грунті.",,"• Шапка: до 15 см, дуже щільна, м’ясиста, опукло- або увігнуто-розпростерта, іноді майже лійковидна, часто ексцентрична; рудувато-коричнева, іноді з червонуватим відтінком; суха, з дуже закрученим товстим гладеньким краєм. • Пластинки: вохряно-жовті, низько спускаються на ніжку, з численними анастомозами. • Ніжка: 3–5 × 1,5–3,5 см, чорно-коричнева, повстиста, ексцентрична, щільна. • М’якоть: білуватий, гіркий, без особливого запаху. • Споровий порошок: вохряно-жовтий."
Paxillus panuoides,липень — вересень.,на відмерлій та обробленій деревині хвойних.,,"• Шапка: 4–8 (10) см, тонком’ясиста; жовтувата, вохряно-руда, коричнювата; тонкоповстиста, згодом гола; з тонким повстистим закрученим краєм. • Пластинки: оливково-жовті, оранжево-жовті, часто з перетинками. • Ніжка: дуже коротка, центральна, ексцентрична, бічна, іноді відсутня (шапка прикріплена боком до субстрату). • М’якоть: білий, без особливого запаху. • Споровий порошок: бурувато-жовтий."
Ripartites tricholoma,серпень — вересень.,"дубові ліси, на грунті, групами.",,"• Шапка: 1–5 см, тонком’ясиста, плоско- або увігнуто-розпростерта; брудно- або сірувато-біла, згодом сірувато-, іноді іржаво-коричнева; гола, клейкувата, після висихання блискуча, іноді притиснуто-волокнисто-луската; з закрученим, потім рівним, тонким, торочкувато-волосистим краєм. • Пластинки: тонкі, вузькі, низько спускаються на ніжку, коричнюваті, легко відділяються від м’якуша шапки. • Ніжка: 2–4 × 0,3–0,5 см, білувата, вгорі борошнисто-луската, з порожниною. • М’якоть: білуватий, без особливого запаху. • Споровий порошок: бурувато-вохряний, світло-коричневий."
Ripartites helomorpha,серпень — вересень.,"хвойні ліси, на грунті, групами.",,"• Шапка: 2,5–6 см, тонком’ясиста, напівкуляста, згодом опукло-розпростерта з горбочком у центрі, іноді злегка увігнута; бурувато-жовтувата, в центрі темніша; з ребристим краєм. • Пластинки: низько спускаються на ніжку, кольору шапки. • Ніжка: 2–3 × 0,3–0,5 см, циліндрична, іноді зігнута, білувата, внизу коричнювата, щільна. • М’якоть: білуватий, без особливого запаху. • Споровий порошок: іржаво-коричнюватий."
Lactarius sanguifluus,серпень — жовтень.,"соснові та мішані ліси, на піщаному грунті.",,"• Шапка: 3–10 (15) см, опукло-, згодом увігнуто-розпростерта, часто з загнутим краєм; оранжево-руда, червонувато-руда, без концентричних зон; суха, блискуча. • Пластинки: спускаються на ніжку, густі, вузькі, оранжево-руді, при пошкодженні зеленіють. • Ніжка: 3–6,5 × 0,8–2,5 см, циліндрична, іноді до основи злегка звужена, щільна, з віком з вузькою порожниною, вгорі білувата, нижче кольору шапки, із зеленими плямами. • М’якоть: оранжево-рудий, на зламі зеленіє, з приємним фруктовим запахом; смак приємний. • Споровий порошок: жовтуватий. • Молочний сік: криваво-червоний, на повітрі не змінюється, спочатку солодкий, згодом гіркий."
Lactarius semisanguifluus,липень — жовтень.,"соснові та мішані ліси, на піщаному грунті.",,"• Шапка: 3–8 (10) см, товстом’ясиста, щільна, увігнуто-розпростерта, лійковидна; брудно-оранжева, червонувато-оранжева, зеленувато-руда; гладенька, з легко знімною шкіркою; з закрученим краєм. • Пластинки: спускаються на ніжку, густі, вузькі, оранжеві, при пошкодженні зеленіють. • Ніжка: 3–8 × 1–2 см, циліндрична, щільна, з віком з порожниною, оранжева, при дотику зеленіє. • М’якоть: жовтуватий, під шкіркою шапки зеленуватий, солодкий, з приємним фруктовим запахом. • Споровий порошок: жовтуватий. • Молочний сік: оранжевий, на повітрі стає пурпуровим, згодом пурпурово-фіолетовим, потім коричнево-фіолетовим; спочатку солодкий, згодом гіркий."
Lactarius fuliginosus,липень — жовтень.,"листяні та хвойні ліси, на грунті.",,"• Шапка: 3–8 (10) см, часто ексцентрична, тупоконусовидна, згодом опукло-, плоско- або увігнуто-розпростерта, з тонким плоским краєм; сірувато-кремова, сірувата, сірувато-рудувато-коричнювата; гола, суха, матова. • Пластинки: спочатку кольору шапки, з віком сірувато-вохряні, вохряно-жовті, запорошені спорами, при натискуванні червоніють. • Ніжка: 3–7 × 0,5–1,5 см, циліндрична або донизу потовщена, біла, з віком кольору шапки, щільна, при дотику червоніє. • М’якоть: білий, на зламі через кілька хвилин червоніє, злегка гіркуватий, з неприємним запахом. • Споровий порошок: світло-вохряний. • Молочний сік: білий, на повітрі червоніє, при відділенні від м’якуша не змінюється, солодкий або гіркуватий."
Lactarius acris,липень — жовтень.,"листяні ліси, на грунті.",,"• Шапка: 3–7 (9) см, м’ясиста, розпростерта, з горбом або лійковидна, часом асиметрична; сірувато-руда, сірувато-каштанова, сіро-коричнева, з оливковим відтінком, з віком часто вицвітає до жовтуватої; з невиразними концентричними зонами. • Пластинки: спускаються на ніжку, густі, вузькі, кремові, при пошкодженні червоніють. • Ніжка: 4–7 × 0,8–1,5 см, циліндрична, щільна, біла або кольору шапки, при дотику червоніє. • М’якоть: білий, на зламі червоніє, злегка гіркуватий, з неприємним запахом. • Споровий порошок: світло-вохряний. • Молочний сік: білий, на повітрі червоніє, при відділенні від м’якуша не змінюється, пекуче-їдкий."
Lactarius chrysorrheus,липень — жовтень.,"листяні та хвойні ліси, на грунті.",,"• Шапка: 4–9 см, опукло-розпростерта, згодом увігнуто-розпростерта, часто з невиразними концентричними зонами; вохряно-червонувато-оранжева, м’ясо-червона, з темнішими зонами; гола, гладенька, суха. • Пластинки: спускаються на ніжку, густі, вузькі, білуваті, згодом кремові, при пошкодженні жовтіють. • Ніжка: 3–6 × 0,8–1,5 см, циліндрична, щільна, з віком з порожниною, вгорі білувата, нижче кольору шапки. • М’якоть: білий, на зламі жовтіє, без особливого запаху; смак пекуче-їдкий. • Споровий порошок: світло-вохряний. • Молочний сік: білий, на повітрі швидко стає сірчано-жовтим, пекуче-їдкий."
Lactarius theiogalus,липень — жовтень.,"вологі хвойні та листяні ліси, на грунті, часто серед мохів.",,"• Шапка: 2,5–5 (7) см, опукло-розпростерта, згодом увігнуто-розпростерта, з підігнутим краєм; м’ясо-цегляна, рудувато-оранжево-червонувата, рудувато-червонувато-коричнювата; гола, суха. • Пластинки: спускаються на ніжку, густі, вузькі, кремові, згодом вохряні, при пошкодженні жовтіють. • Ніжка: 3–6 × 0,4–1 см, циліндрична, щільна, з віком з порожниною, кольору шапки або світліша. • М’якоть: білуватий, на зламі жовтіє, неприємний на смак, без особливого запаху. • Споровий порошок: світло-вохряний. • Молочний сік: білий або водянисто-білий, на повітрі стає сірчано-жовтим; спочатку солодкуватий, згодом гіркий, далі пекуче-їдкий."
Lactarius hepaticus,вересень — жовтень. Рідкісний вид.,"соснові та мішані з сосною ліси, на грунті.",,"• Шапка: 2–5,5 (7) см, увігнуто-розпростерта, часто з маленьким конусовидним виступом у центрі; червоно-коричнева, каштаново-коричнева, до краю світліша, з віком вицвітає до червонувато-жовто-коричневої; гола, суха. • Пластинки: спускаються на ніжку, густі, вузькі, червонувато-рудуваті, майже оранжеві, з віком рудувато-коричнюваті, часто припорошені споровою масою. • Ніжка: 3–5 (6) × 0,4–0,8 см, циліндрична, щільна, з віком з каналом, кольору шапки, біля основи волосиста. • М’якоть: світло-вохряний, у ніжці червонуватий, біля основи лілувато-червонуватий, на зламі стає сірчано-жовтим; пекуче-їдкий; з незначним приємним запахом. • Споровий порошок: світло-жовта. • Молочний сік: білий або водянисто-безбарвний, на повітрі стає темно-жовтим, пекуче-їдкий."
Lactarius scrobiculatus,липень — вересень.,"хвойні, переважно гірські, ліси, на грунті.",,"• Шапка: 5–15 (20) см, товсто-щільно-м’ясиста, увігнуто-розпростерта, часом лійковидна; жовта, жовто-вохряна, при натискуванні коричневіє; слизька; з підігнутим шерстистим, згодом темно-волокнисто-плівчасто-лускатим краєм. • Пластинки: спускаються на ніжку, вузькі, густі, білуваті, жовтуваті з червонуватим відтінком. • Ніжка: 3–6 (8) × 1,5–3,5 см, коротша за діаметр шапки, кольору шапки або світліша, з ум’ятинами, щільна, згодом з порожниною. • М’якоть: білий, з віком жовтуватий, на зламі стає сірчано-жовтим; пекуче-їдкий; з приємним запахом. • Споровий порошок: світло-вохряний. • Молочний сік: білий, пекуче-їдкий, на повітрі стає сірчано-жовтим."
Lactarius trivialis,липень — жовтень.,"хвойні та мішані ліси, на грунті, часто серед мохів.",,"• Шапка: (3) 5–15 (20) см, дуже щільном’ясиста, опукло- або увігнуто-розпростерта; спочатку лілувато-сиза, синювато-сіра, з віком сірувато-червонувато-рудувата або лілово-коричнювата; гола, слизька, при натискуванні коричневіє. • Пластинки: спускаються на ніжку, широкі, білуваті, згодом світло-вохряні. • Ніжка: 4–12 × 1–3,5 см, з порожниною, світло-вохряна або оранжева з м’ясо-червоним відтінком, слизька. • М’якоть: білуватий, під шкіркою лілувато-сірий або коричнюватий, у ніжці біля основи рудуватий, з легким запахом оселедця, на зламі злегка жовтіє. • Споровий порошок: жовтуватий. • Молочний сік: білий, на повітрі стає сірчано-жовтим, сухий сірувато-зелений, дуже пекуче-їдкий."
Lactarius musteus,серпень — жовтень. Рідкісний вид.,"сухі соснові ліси, на піщаних грунтах, серед мохів та лишайників.",,"• Шапка: 4–8 (10) см, вохряно-сірувата, вохряно-сіра, з віком нерівномірно червонувато-сіра; часто асиметрична, опукло- або увігнуто-розпростерта, іноді лійковидна; з підігнутим, згодом опущеним, з віком короткорубчастим краєм; спочатку по краю тонковолосиста, потім гола, клейка, при підсиханні блискуча. • Пластинки: спускаються на ніжку, вузькі, густі, білуваті, згодом червонувато-жовтуваті, при натискуванні стають іржаво-коричневими. • Ніжка: 3–7 × 1,3–5 см, циліндрична, часто зігнута, щільна, з віком з порожниною, кольору шапки, зморшкувата. • М’якоть: білий, при натискуванні стає іржаво-коричнюватим, солодкий, з приємним фруктовим запахом. • Споровий порошок: жовтуватий. • Молочний сік: білий, на повітрі стає сірчано-жовтим, солодкий (після з’явлення швидко зникає)."
Lactarius rubrocinctus,липень — жовтень.,"листяні (переважно букові), хвойні і мішані ліси, на грунті, групами.",,"• Шапка: 4–10 см, увігнуто-розпростерта або лійковидна, з опущеним, груборубчастим краєм; червонувато-вохряна, червонувато-сіро-вохряна, червонувато-коричнева; гола або зерниста, шорстка, іноді дрібногорбкувата, при натискуванні стає пурпурово-коричневою. • Пластинки: спускаються на ніжку, густі, вузькі, кремові, з віком червонувато-вохряні. • Ніжка: 3–7 × 0,4–2 см, циліндрична, біля основи звужена, щільна, з віком з порожниною, кольору шапки, внизу темно-червона, волосиста. • М’якоть: світло-вохряний або червонувато-жовтуватий, у ніжці біля основи іржаво-коричневий або червонувато-темно-коричневий, з неприємним запахом; гіркий або пекуче-їдкий. • Споровий порошок: червонувата, світло-вохряна. • Молочний сік: білий, водянисто-білий, на повітрі коричневіє; спочатку солодкий, потім гіркий і пекуче-їдкий."
Lactarius glaucescens,серпень — жовтень.,"листяні (дубові, букові) та зрідка соснові ліси, на грунті.",,"• Шапка: 5–10 (15) см, щільном’ясиста, здебільшого асиметрична, увігнуто-розпростерта або лійковидна, з опущеним краєм; біла, кремова або нерівномірно біло-рудувата, з віком стає брудно-вохряно-рудувато-плямиста; суха, гола. • Пластинки: спускаються на ніжку, густі, вузькі, білі, з часом рожевувато-жовтуваті, на зламі сіро-зелено-плямисті. • Ніжка: 3–7 × 1–4 см, тонкозморшкувата, вгорі пухнаста, щільна, кольору шапки. • М’якоть: білий, щільний, із слабким приємним запахом; їдкий. • Споровий порошок: біла. • Молочний сік: білий, пекуче-їдкий, на повітрі, особливо при підсиханні, стає зеленувато-синюватим або сіро-зеленим."
Lactarius blennius,липень — жовтень.,"листяні, переважно букові та мішані з буком ліси, на грунті, групами.",,"• Шапка: 4–8 (10) см, зеленувато-сіра, темно-оливково- або зеленувато-сіро-коричнювата, в центрі іноді червонувато- або лілувато-сіро-коричнева; часто з вузькими темнішими концентричними смугами; гола, слизька; увігнуто-розпростерта, з підігнутим, потім опущеним, часом хвилястим краєм. • Пластинки: спускаються на ніжку, густі, вузькі, білі, згодом жовтуваті, з віком червонувато-жовтуваті або рудуваті, часто з сірувато-зеленуватими краплями підсохлого молочного соку. • Ніжка: 3–6 × 0,8–1,5 (2) см, циліндрична або донизу злегка звужена, нещільна, з порожниною, кольору шапки або світліша, клейка, при натискуванні сіріє або коричневіє. • М’якоть: білуватий, з віком сіруватий, пекуче-їдкий, без особливого запаху. • Споровий порошок: жовтуватий. • Молочний сік: білий, на повітрі (разом з м’якушем) стає сірим або зеленувато-сірим, при відділенні від м’якуша не змінюється, пекуче-їдкий."
Lactarius vietus,вересень — жовтень.,"листяні (березові) та мішані з березою ліси, на вологих місцях, на грунті.",,"• Шапка: 2,5–7 (10) см, лілувато-сіро-коричнювата або лілувато-сіра, до краю світліша, часто з невиразними зонами; слизька, клейка, при підсиханні блискуча; у центрі іноді зморшкувата, тупоконусовидна, згодом плоско- або увігнуто-розпростерта, іноді з маленьким конусовидним виступом, часом лійковидна; з підігнутим, потім плоским тонким краєм. • Пластинки: кремуваті, згодом сірувато-жовтуваті, з червонуватим відтінком, при дотику сіро-оливково-коричневі. • Ніжка: 3–6 (8) × 0,4–1,5 см, щільна, з віком часто з порожниною, білувата або світло-лілувато-сірувата, іноді вохряно-сірувата, суха. • М’якоть: білуватий, під шкіркою темніший, їдкуватий, без особливого запаху, на зламі сіріє. • Споровий порошок: жовтуватий. • Молочний сік: білий, на повітрі стає оливково- або зелено-сірим; спочатку солодкий, потім пекучий."
Lactarius uvidus,серпень — жовтень.,"вологі листяні та хвойні ліси, у кущах верби, крушини, під березою, на луках, групами.",,"• Шапка: 4–10 см, фіолетово-сіра, м’ясо-сіра, сірувато-лілувато-коричнювата, з невиразними темнішими зонами; опукло- або плоско-розпростерта, іноді з горбочком, часто увігнута до лійковидної; гола, слизька, при підсиханні блискуча. • Пластинки: спускаються на ніжку, вузькі, білі, згодом жовтуваті; при дотику ліловіють або синіють. • Ніжка: 5–12 × 0,5–2 см, спочатку щільна, з віком з порожниною; білувата, потім світло-лілувато-сірувата, біля основи повстисто-волокниста, жовтувата, клейкувата; при дотику ліловіє. • М’якоть: білий, у ніжці внизу жовтуватий; гіркуватий. • Споровий порошок: жовтуватий. • Молочний сік: білий, на повітрі ліловіє, при відділенні від м’якуша не змінюється; гіркий."
Lactarius violascens,липень — жовтень.,"листяні ліси, на грунті.",,"• Шапка: 5–10 (15) см, фіолетово-коричнева, з кількома темнішими концентричними зонами; увігнуто-розпростерта; при натискуванні темніє. • Пластинки: жовтуваті, згодом коричнюваті, з вохряним відтінком; при натискуванні повільно стають червоно-фіолетовими, далі фіолетово-коричневими. • Ніжка: (2–3) 4–6 × 1–2,5 см, щільна, з часом з порожниною; вохряно-коричнювата, вгорі борошниста, біля основи волокниста; при натискуванні червонувато-фіолетова. • М’якоть: щільний, жовтувато- або коричнювато-білуватий, гіркуватий, на зламі в ніжці та над пластинками червонувато-фіолетовий; із приємним запахом. • Споровий порошок: жовтуватий. • Молочний сік: водянисто-білий або білий, на повітрі ліловіє, гіркуватий."
