scientific_name,common_name_uk,edibility_status,has_photos,in_top20,is_popular,is_poisonous,is_deadly,is_red_listed,rarity_label_uk,in_ai_recognition,has_ai_prompt,legacy_id,zones,key_features_ai,season,photo_path
Leccinum scabrum,Підберезник звичайний,edible,1,1,1,0,0,0,,1,1,3,,,,фото Топ-20 грибів (webp)/Підберезник звичайний Leccinum scabrum/large.webp
Leccinum aurantiacum,Підосичник,edible,1,1,1,0,0,0,,1,1,4,,,,фото Топ-20 грибів (webp)/Підосичник Leccinum aurantiacum/large.webp
Imleria badia,Польський гриб,edible,1,1,1,0,0,0,,1,1,,,,,фото Топ-20 грибів (webp)/Польський гриб Imleria badia/large.webp
Lactarius deliciosus,Рижик справжній,edible,1,1,1,0,0,0,,1,1,7,,,,фото Топ-20 грибів (webp)/Рижик справжній Lactarius deliciosus/large.webp
Russula vesca,Сироїжка,edible,1,1,1,0,0,0,,1,1,9,,,липень — жовтень.,фото Топ-20 грибів (webp)/Сироїжка Russula vesca/large.webp
Morchella esculenta,Сморчок звичайний,edible,1,1,1,0,0,0,,1,1,11,,,,фото Топ-20 грибів (webp)/Сморчок звичайний Morchella esculenta/large.webp
Albatrellus confluens,Альбатрел злитий,edible,1,0,1,0,0,0,,1,1,,,,,
Albatrellus ovinus,Альбатрел овечий,edible,1,0,1,0,0,0,,1,1,,,,,
Boletus reticulatus,Білий гриб сітчастий,edible,1,0,1,0,0,0,,1,1,,,,,
Boletus pinophilus,Білий гриб сосновий,edible,1,0,1,0,0,0,,1,1,,,,,
Pleurotus dryinus,Глива дубова,edible,1,0,1,0,0,0,,1,1,,,,,
Pleurotus pulmonarius,Глива легенева,edible,1,0,1,0,0,0,,1,1,,,,,
Macrolepiota procera,Гриб-зонтик великий,edible,1,0,1,0,0,0,,1,1,,,,,
Macrolepiota mastoidea,Гриб-зонтик сосковидний,edible,1,0,1,0,0,0,,1,1,,,,,
Tricholoma equestre,Зеленушка,conditionally_edible,1,0,1,0,0,0,,1,1,,,,,
Hydnum rufescens,Їжовик рудуватий,edible,1,0,1,0,0,0,,1,1,,,,,
Hydnum umbilicatum,Їжовик ямчастий,edible,1,0,1,0,0,0,,1,1,,,,,
Clavulina cristata,Клавуліна гребінчаста,edible,1,0,1,0,0,0,,1,1,,,,,
Clavulina coralloides,Клавуліна зморшкувата,edible,1,0,1,0,0,0,,1,1,,,,,
Cantharellus amethysteus,Лисичка аметистова,edible,1,0,1,0,0,0,,1,1,,,,,
Craterellus lutescens,Лисичка жовта,edible,1,0,1,0,0,0,,1,1,,,,,
Craterellus cinereus,Лисичка сіра,edible,1,0,1,0,0,0,,1,1,,,,,
Craterellus tubaeformis,Лисичка трубчаста,edible,1,0,1,0,0,0,,1,1,,,,,
Cantharellus friesii,Лисичка Фріза,edible,1,0,1,0,0,0,,1,1,,,,,
Suillus placidus,Маслюк білий,edible,1,0,1,0,0,0,,1,1,,,,,
Suillus variegatus,Маслюк жовто-бурий,edible,1,0,1,0,0,0,,1,1,,,,,
Suillus granulatus,Маслюк зернистий,edible,1,0,1,0,0,0,,1,1,,,,,
Suillus grevillei,Маслюк модриновий,edible,1,0,1,0,0,0,,1,1,,,,,
Xerocomellus chrysenteron,Моховик тріщинуватий,edible,1,0,1,0,0,0,,1,1,,,,,
Amanita excelsa,Мухомор високий,conditionally_edible,1,0,1,0,0,0,,1,1,,,,,
Amanita rubescens,Мухомор червоніючий,conditionally_edible,1,0,1,0,0,0,,1,1,,,,,
Amanita crocea,Мухомор шафрановий,edible,1,0,1,0,0,0,,1,1,,,,,
Kuehneromyces mutabilis,Опеньок літній,edible,1,0,1,0,0,0,,1,1,,,,,
Armillaria ostoyae,Опеньок темний,edible,1,0,1,0,0,0,,1,1,,,,,
Leccinellum pseudoscabrum,Підберезник грабовий,edible,1,0,1,0,0,0,,1,1,,,,,
Leccinum versipelle,Підберезник жовто-бурий,edible,1,0,1,0,0,0,,1,1,,,,,
Leccinum variicolor,Підберезник різнокольоровий,edible,1,0,1,0,0,0,,1,1,,,,,
Leccinum duriusculum,Підберезник тополевий,edible,1,0,1,0,0,0,,1,1,,,,,
Russula delica,Підгруздь,edible,1,0,1,0,0,0,,1,1,,,,серпень — жовтень.,
Leccinum albostipitatum,Підосичник білоніжковий,edible,1,0,1,0,0,0,,1,1,,,,,
Amanita fulva,Поплавок жовто-коричневий,edible,1,0,1,0,0,0,,1,1,,,,,
Amanita vaginata,Поплавок сірий,edible,1,0,0,0,0,0,,1,1,,,,,
Ramaria botrytis,Рамарія гроновидна,edible,1,0,0,0,0,0,,1,1,,,,,
Lactarius deterrimus,Рижик ялиновий,edible,1,0,0,0,0,0,,1,1,,,,,
Lactarius salmonicolor,Рижик ялицевий,edible,1,0,0,0,0,0,,1,1,,,,,
Tricholoma terreum,Рядовка землиста,edible,1,0,0,0,0,0,,1,1,,,,,
Lepista personata,Рядовка ліловонога,edible,1,0,0,0,0,0,,1,1,,,,,
Calocybe gambosa,Рядовка майська,edible,1,0,0,0,0,0,,1,1,,,,,
Tricholoma portentosum,Рядовка сіра,edible,1,0,0,0,0,0,,1,1,,,,,
Lepista nuda,Рядовка фіолетова,edible,1,0,0,0,0,0,,1,1,,,,,
Russula xerampelina,Сироїжка буро-червона,edible,1,0,0,0,0,0,,1,1,,,,липень — листопад.,
Russula virescens,Сироїжка зелена,edible,1,0,0,0,0,0,,1,1,,,,липень — жовтень.,
Russula cyanoxantha,Сироїжка синьо-жовта,edible,1,0,0,0,0,0,,1,1,,,,серпень — вересень.,
Russula foetens,Сироїжка смердюча,inedible,1,0,0,0,0,0,,1,1,,,,,
Lactarius vellereus,Скрипиця,conditionally_edible,1,0,0,0,0,0,,1,1,,,,,
Polyporus squamosus,Трутовик лускатий,edible,1,0,0,0,0,0,,1,1,,,,,
Laetiporus sulphureus,Трутовик сірчано-жовтий,edible,1,0,0,0,0,0,,1,1,,,,,
Lactarius quietus,Хрящ-молочник дубовий,edible,1,0,0,0,0,0,,1,1,,,,,
Lactifluus volemus,Хрящ-молочник їстівний,edible,1,0,0,0,0,0,,1,1,,,,,
Lactarius piperatus,Хрящ-молочник перцевий,conditionally_edible,1,0,0,0,0,0,,1,1,,,,,
Lactarius subdulcis,Хрящ-молочник солодкуватий,edible,1,0,0,0,0,0,,1,1,,,,,
Boletus aereus,Боровик бронзовий,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Rubroboletus lupinus,Боровик вовчий,inedible,1,0,0,0,0,1,Вразливий вид,0,1,,,,,
Butyriboletus appendiculatus,Боровик дівочий,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Butyriboletus regius,Боровик королівський,edible,1,0,0,0,0,1,Зникаючий вид,0,1,,,,,
Butyriboletus subappendiculatus,Боровик напівапендикулярний,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Butyriboletus fuscoroseus,Боровик рожево-бурий,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Rubroboletus rhodoxanthus,Боровик рожево-жовтий,poisonous,1,0,0,1,0,1,Вразливий вид,0,1,,,,,
Rubroboletus satanas,Боровик сатанинський,poisonous,1,0,0,1,0,1,Рідкісний вид,0,1,,,,,
Butyriboletus fechtneri,Боровик Фехтнера,edible,1,0,0,0,0,1,Зникаючий вид,0,1,,,,,
Rubroboletus rubrosanguineus,Боровик червоно-кривавий,poisonous,1,0,0,1,0,1,Вразливий вид,0,1,,,,,
Phallus duplicatus,Веселка подвоєна,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Hemileccinum depilatum,Гемілецінум безволосий,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Hericium erinaceus,Герицій їжаковий,edible,1,0,0,0,0,1,Вразливий вид,0,1,,,,,
Hericium coralloides,Герицій кораловий,inedible,1,0,0,0,0,1,Вразливий вид,0,1,,,,,
Hygrocybe calyptriformis,Гігроцибе ковпакоподібна,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Gomphus clavatus,Гомф булавоподібний,edible,1,0,0,0,0,1,Вразливий вид,0,1,,,,,
Grifola frondosa,Грифола листувата,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Morchella steppicola,Зморшок степовий,edible,1,0,0,0,0,1,Зникаючий вид,0,1,,,,,
Pseudocolus fusiformis,Кальмарник веретеноподібний,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Catathelasma imperiale,Катателазма царська,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Anthurus archeri,Квітохвісник Арчера,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Clavariadelphus pistillaris,Клаваріадельф товкачиковий,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Lyophyllum favrei,Ліофіл Фавре,inedible,1,0,0,0,0,1,На межі зникнення,0,1,,,,,
Helvella monachella,Лопатевик чорний,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Suillus plorans,Маслюк кедровий,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Myriostoma coliforme,Міріостома шийкова,inedible,1,0,0,0,0,1,Вразливий вид,0,1,,,,,
Boletus parasiticus,Моховик паразитний,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Amanita caesarea,Мухомор цезарів,edible,1,0,0,0,0,1,Зникаючий вид,0,1,,,,,
Amanita strobiliformis,Мухомор щетинистий,conditionally_edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Chalciporus rubinus,Решетняк карміново-червоний,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Clathrus ruber,Решіточник червоний,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Tricholoma colossus,Рядовка величезна,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Tricholoma focale,Рядовка опеньковидна,inedible,1,0,0,0,0,1,Вразливий вид,0,1,,,,,
Sarcosoma globosum,Саркосома куляста,inedible,1,0,0,0,0,1,Вразливий вид,0,1,,,,,
Russula turci,Сироїжка синювата,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,липень — вересень.,
Scleroderma geaster,Склеродерма зірчаста,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Sparassis crispa,Спарасис кучерявий,edible,1,0,0,0,0,1,Вразливий вид,0,1,,,,,
Polyporus umbellatus,Трутовик зонтичний,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Tuber aestivum,Трюфель літній,edible,1,0,0,0,0,1,Зникаючий вид,0,1,,,,,
Phellorinia herculeana,Фелоринія геркулесова,inedible,1,0,0,0,0,1,На межі зникнення,0,1,,,,,
Phaeolepiota aurea,Феолепіота золотиста,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Phylloporus pelletieri,Філопор рожево-золотистий,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Lactarius lignyotus,Хрящ-молочник чорний,edible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Strobilomyces strobilaceus,Шишкогриб лускатий,inedible,1,0,0,0,0,1,Рідкісний вид,0,1,,,,,
Amanita muscaria,Мухомор червоний,poisonous,1,0,0,1,0,0,,1,1,,,,,
Amanita pantherina,Мухомор пантерний,poisonous,1,0,0,1,0,0,,1,1,,,,,
Amanita phalloides,Бліда поганка,deadly_poisonous,1,0,0,1,1,0,,1,1,,,,,
Amanita verna,Мухомор весняний,deadly_poisonous,1,0,0,1,1,0,,1,1,,,,,
Amanita virosa,Мухомор смердючий,deadly_poisonous,1,0,0,1,1,0,,1,1,,,,,
Clitocybe candicans,Говорушка білувата,poisonous,1,0,0,1,0,0,,1,1,,,,,
Clitocybe dealbata,Говорушка воскова,poisonous,1,0,0,1,0,0,,1,1,,,,,
Entoloma sinuatum,Ентолома отруйна,poisonous,1,0,0,1,0,0,,1,1,,,,,
Galerina marginata,Галерина облямована,deadly_poisonous,1,0,0,1,1,0,,1,1,,,,,
Gyromitra esculenta,Строчок звичайний,deadly_poisonous,1,0,0,1,1,0,,1,1,,,,,
Hygrophoropsis aurantiaca,Лисичка несправжня,poisonous,1,0,0,1,0,0,,1,1,,,,,
Inocybe erubescens,Волоконниця червоніюча,poisonous,1,0,0,1,0,0,,1,1,,,,,
Inocybe geophylla,Іноцибе звичайний,poisonous,1,0,0,1,0,0,,1,1,,,,,
Paxillus involutus,Свинуха тонка,poisonous,1,0,0,1,0,0,,1,1,,,,,
Agaricus arvensis,Печериця польова,edible,0,0,0,0,0,0,,0,1,,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська|Чернігівська,"• Шапка: 8–20 см, спочатку напівсферична, потім опуклю- або плоско-розпростерта; біла, згодом кремова; гладенька або дрібнолуската; край спочатку підігнутий, потім розпростертий. • Пластинки: вільні, густі; спочатку рожеві, згодом темно-коричневі. • Ніжка: 6–10 × 1–2 см, циліндрична, біла, з двокільцевим кільцем; біля основи часто потовщена. • М’якоть: біла, на зламі не змінюється або злегка жовтіє; запах анісу або мигдалю; смак приємний. • Споровий порошок: темно-коричневий.",травень — листопад.,
Agaricus silvaticus,Печериця лісова,edible,0,0,0,0,0,0,,0,1,,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська,"• Шапка: 5–10 см, опукла, згодом плоско-розпростерта; сірувато-бура, з бурими лусками; край підігнутий. • Пластинки: вільні, густі; білі → рожеві → темно-коричневі. • Ніжка: 5–10 × 0,8–1,5 см, циліндрична, білувата, з кільцем. • М’якоть: біла, на зламі червоніє; запах приємний, грибний. • Споровий порошок: темно-коричневий.",червень — жовтень.,
Agaricus xanthodermus,Печериця жовтошкіра,poisonous,0,0,0,1,0,0,,0,1,,Вінницька|Дніпропетровська|Донецька|Закарпатська|Запорізька|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська,"• Шапка: 5–15 см, опукла, згодом плоско-розпростерта; біла, при дотику жовтіє; край підігнутий. • Пластинки: вільні, густі; рожеві → коричневі. • Ніжка: 6–12 × 1–2 см, біла, з кільцем; біля основи жовтіє. • М’якоть: біла, на зламі жовтіє; запах карболки або чорнила. • Споровий порошок: темно-коричневий.",червень — жовтень.,
Amanita citrina,Мухомор цитриновий,poisonous,0,0,0,1,0,0,,0,1,,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська,"• Шапка: 4–10 см, напівсферична, згодом опуклю-розпростерта; лимонно-жовта, зеленувата, з білими пластівцями; край гладенький. • Пластинки: вільні, білі. • Ніжка: 6–10 × 1–1,5 см, біла, з кільцем і бульбою; біля основи піхва. • М’якоть: біла, із запахом редьки. • Споровий порошок: білий.",липень — жовтень.,
Amanita porphyria,Мухомор пурпуровий,poisonous,0,0,0,1,0,0,,0,1,,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Сумська|Чернівецька|Чернігівська,"• Шапка: 5–8 см, напівсферична, згодом опуклю-розпростерта; сірувато-бура з пурпуровим відтінком, з білими пластівцями. • Пластинки: вільні, білі. • Ніжка: 6–10 × 0,8–1,2 см, біла, з кільцем; біля основи вільна біла піхва. • М’якоть: біла, без виразного запаху або з легким редьковим. • Споровий порошок: білий.",липень — вересень.,
Amanita vittadinii,Мухомор Віттадіні,poisonous,0,0,0,1,0,0,,0,1,,Вінницька|Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська,"• Шапка: 3–10 (20) см, напівсферична, згодом плоско-розпростерта; біла, кремова, з гострими конусовидними бородавками. • Пластинки: вільні, білі. • Ніжка: 5–8 (20) × 1–3 (4) см, біла, з подвійним кільцем; біля основи приросла піхва. • М’якоть: щільна, біла, з неприємним запахом. • Споровий порошок: білий.",червень — жовтень.,
Amanita echinocephala,Мухомор колючоголовий,inedible,0,0,0,0,0,0,,0,1,,Вінницька|Кіровоградська|Тернопільська|Хмельницька|Черкаська,"• Шапка: 6,5–14 см, опуклю-розпростерта; біла, в центрі вохряна, з пірамідальними гострими бородавками; край гладенький. • Пластинки: вільні, кремово-зеленуваті. • Ніжка: 10–15 × 1,3–4 см, біла, з кільцем і прирослою піхвою; внизу з лускатими зонами. • М’якоть: білувата або кремова, щільна, з приємним запахом. • Споровий порошок: білий.",червень — серпень.,
Boletus calopus,Боровик неїстівний,inedible,0,0,0,0,0,0,,0,1,,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська,"• Шапка: 5–15 см, напівсферична, згодом подушковидно-розпростерта; сірувато-коричнева, жовтувато- або оливково-коричнева; суха, тонкоповстиста. • Трубочки/пори: пори зеленувато-жовті, при натиску синіють. • Ніжка: 5–10 (12) × 1,5–4 см, вгорі жовта, донизу червона, зі світлою сіткою. • М’якоть: білувата, згодом жовтувата, на зламі синіє; смак дуже гіркий. • Споровий порошок: вохряно-оливковий.",липень — вересень.,
Boletus impolitus,Боровик жовтий,edible,0,0,0,0,0,0,,0,1,,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська,"• Шапка: 5–15 (20) см, дуже м’ясиста; оливково-буро-коричнева; гладенька, з товстим краєм. • Трубочки/пори: пори жовтуваті, згодом зеленувато-жовті, при натиску зеленіють. • Ніжка: 5–15 (18) × 2–5 (8) см, без сітки, штрихувата, борошниста, дрібнолуската. • М’якоть: у шапці та ніжці жовтуватий, на зламі не змінюється; запах карболки; смак добрий. • Споровий порошок: оливковий.",липень — жовтень.,
Boletus queletii,Боровик Келета,conditionally_edible,0,0,0,0,0,0,,0,1,,Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Полтавська|Сумська|Харківська|Чернігівська,"• Шапка: 5–15 (20) см, напівсферична, згодом подушковидно-розпростерта; оранжево- або коричнювато-червона; суха, тонкоповстиста. • Трубочки/пори: пори жовті → червоні; при дотику синіють. • Ніжка: 5–12 (15) × 2–4 (6) см, жовта, біля основи червона, зерниста. • М’якоть: жовта, на зламі синіє, далі зеленіє та жовтіє; смак добрий. • Споровий порошок: коричнево-оливковий.",червень — жовтень.,
Boletus erythropus,Боровик зернистоногий,conditionally_edible,0,0,0,0,0,0,,0,1,,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська,"• Шапка: 5–15 (20) см, напівсферична, згодом опукло- або плоско-розпростерта; бурувато- або темно-коричнева, іноді з вохряним або оранжевим відтінком; тонковолокнисто-повстиста, згодом майже гола; при натискуванні синіє. • Трубочки/пори: пори спочатку жовті, згодом оранжево-червоні, далі оливково-пурпурові; при дотику синіють. • Ніжка: 7–15 × 2–4 (6) см, щільна, жовто-червона, повстисто-зерниста; при дотику синіє. • М’якоть: дуже щільна, жовта, на зламі швидко синіє; запах приємний; смак добрий. • Споровий порошок: оливковий.",травень — жовтень.,
Boletus purpureus,Боровик пурпуровий,poisonous,0,0,0,1,0,0,,0,1,,Вінницька|Кіровоградська|Полтавська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська,"• Шапка: 5–15 (20) см, товстом’ясиста, напівкуляста, подушковидна; сірувата, попеляста, оливкувато- або жовтувато-сіра, іноді вся або лише до краю рожевувата; при дотику синіє, згодом червоніє. • Трубочки/пори: пори жовті, згодом червоні, пурпурово-червоні. • Ніжка: 5–14 × 2–6 см, дуже щільна, жовто-червона, донизу червона, повстисто-зерниста, з червоною сіткою. • М’якоть: золотисто-жовтий, на зламі швидко дуже синіє; запах фруктово-спиртовий; смак добрий. • Споровий порошок: оливковий.",липень — вересень.,
Gyroporus castaneus,Гіропор каштановий,edible,0,0,0,0,0,0,,0,1,,Івано-Франківська|Волинська|Вінницька|Дніпропетровська|Житомирська|Закарпатська|Запорізька|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька,"• Шапка: 3–8 (10–12) см, опукло- або плоско-розпростерта; каштаново- або іржаво-коричнева; суха, тонкоповстиста. • Трубочки/пори: пори білі, згодом жовтуваті, округлі, малі. • Ніжка: 4–7 × 1–3 см, кольору шапки, донизу злегка потовщується, з ум’ятинами, тонкоповстиста, з порожниною та перегородками всередині. • М’якоть: білий, не синіє на зламі. • Споровий порошок: жовтуватий.",липень — вересень.,
Gyroporus cyanescens,Гіропор синіючий,edible,0,0,0,0,0,0,,0,1,,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька,"• Шапка: 5–10 (15) см, суха, опукло-розпростерта; спочатку білувата, потім світло-жовта, вохряна, жовта, у старих коричнювата; тонковолокнисто- або волосисто-лускато-повстиста. • Трубочки/пори: пори білі, згодом жовтуваті, при дотику синіють, округлі, потім овальні. • Ніжка: 4–8 (12) × 2–4 см, донизу розширена, у верхній частині біла, нижче кольору шапки, спочатку щільна, з віком з порожниною та перегородками. • М’якоть: щільний, білий, на зламі швидко синіє. • Споровий порошок: жовтуватий.",липень — жовтень.,
Gyrodon lividus,Гіродон сизуватий,edible,0,0,0,0,0,0,,0,1,,Івано-Франківська|Львівська|Тернопільська,"• Шапка: 5–10 см, опукло- або плоско-розпростерта, іноді ввігнута; сірувато-лимонна або сірувато-золотисто-жовта, рудувато-коричнювата; тонкоповстисто-волокниста, суха, при змочуванні клейкувата. • Трубочки/пори: трубочки дуже короткі (1–5 мм), жовті, з віком оливково-коричневі; пори неправильнокутасті, видовжені, лимонно- або золотисто-жовті, згодом зеленувато- або жовто-оливкові, з нерівними зубчастими краями; при дотику синіють, потім буріють. • Ніжка: 3–12 × 0,5–2,5 см, кольору шапки або світліша, борошниста, з віком гола; при натискуванні набуває рожево-коричнюватого кольору. • М’якоть: щільний, не швидко загниває, жовтуватий, у ніжці темніший, на зламі швидко синіє; смак приємний; без особливого запаху. • Споровий порошок: жовтувато-буро-оливковий.",серпень — жовтень.,
Boletinus cavipes,Болетин порожньоногий,edible,0,0,0,0,0,0,,0,1,,Вінницька|Кіровоградська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська,"• Шапка: 5–10 см, конусовидна, згодом конусовидно-розпростерта; золотисто-жовта, коричнювата, інколи з червонуватим відтінком; суха, повстисто-волокнисто-луската. • Трубочки/пори: трубочки короткі, до 1 см; пори нерівномірно видовжені, неправильнокутасті, розміщені майже радіальними рядами, жовтувато-зеленуваті або оливкуваті; гіменофор спускається на ніжку, не відділяється легко від тканини шапки. • Ніжка: 3–9 × 1–3 см, циліндрична, часто зігнута, волокнисто-луската, з кільцем, з порожниною. • М’якоть: жовтуватий, у ніжці біля основи буруватий; без особливого запаху. • Споровий порошок: жовтувато-оливкуватий.",серпень — жовтень.,
Tylopilus felleus,Тилопіл жовчний,inedible,0,0,0,0,0,0,,0,1,,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська,"• Шапка: 5–12 см, напівкуляста, згодом опукло- або подушковидно-розпростерта; бурувато- або оливкувато-коричнювата, іноді з легким червонуватим відтінком; тонковолокнисто-повстиста, з віком гола, суха, у вологу погоду клейкувата. • Трубочки/пори: пори спочатку білі, згодом рожевуваті, брудно- або бурувато-рожеві, іноді з лілуватим відтінком, у старих рожево-коричневі. • Ніжка: 5–10 (16) × 2–4 (5) см, жовтувато-коричнювата, з виразною темно-бурою або чорною сіткою. • М’якоть: дуже гіркий, білий, на зламі рожевіє; запах приємний. • Споровий порошок: рожевий, червонуватий, іноді з лілуватим відтінком.",червень — жовтень.,
Porphyrellus porphyrosporus,Порфірел пурпуровоспоровий,inedible,0,0,0,0,0,0,,0,1,,Волинська|Житомирська|Київська|Рівненська,"• Шапка: 5–10 (12) см, опукло-розпростерта; бурувато- або оливкувато-коричнева; волокнисто-бархатиста або тонкоповстиста. • Трубочки/пори: трубочки часом біля ніжки пластиковидно розділяються; пори округло-кутасті (0,5–1 мм), брудно-кремові, сіруваті, потім жовтувато-сірувато-коричневі, часом брудно-коричневі з оливковим відтінком. • Ніжка: 4–16 × 1–4 см, брудно-коричнева, борошнисто-бархатиста. • М’якоть: білий, білуватий, на зламі червоніє, згодом буріє (у старих екземплярів сіріє); запах неприємний. • Споровий порошок: темно-пурпурово-коричневий або коричнево-темно-червоний.",липень — жовтень.,
