scientific_name,zones
Tricholoma populinum,Вінницька|Дніпропетровська|Донецька|Запорізька|Кіровоградська|Миколаївська|Одеська|Полтавська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська
Tricholoma saponaceum,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Tricholoma sejunctum,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Tricholoma orirubens,Вінницька|Кіровоградська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська
Clitocybe nebularis,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Clitocybe geotropa,Вінницька|Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська
Clitocybe gigantea,Івано-Франківська|АР Крим|Вінницька|Закарпатська|Кіровоградська|Львівська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська
Clitocybe odora,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Clitocybe clavipes,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Clitocybe infundibuliformis,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Clitocybe rivulosa,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Clitocybe phyllophila,Івано-Франківська|Донецька|Кіровоградська|Луганська|Львівська|Полтавська|Тернопільська|Харківська
Clitocybe suaveolens,Івано-Франківська|Волинська|Житомирська|Київська|Львівська|Рівненська|Тернопільська
Clitocybe brumalis,Вінницька|Дніпропетровська|Запорізька|Кіровоградська|Миколаївська|Одеська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська
Collybia dryophila,АР Крим|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Collybia peronata,Івано-Франківська|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Закарпатська|Запорізька|Київська|Кіровоградська|Луганська|Львівська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Collybia confluens,Івано-Франківська|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Закарпатська|Запорізька|Київська|Кіровоградська|Луганська|Львівська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Collybia maculata,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Collybia butyracea,Івано-Франківська|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Закарпатська|Запорізька|Київська|Кіровоградська|Луганська|Львівська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Collybia fusipes,Івано-Франківська|АР Крим|Вінницька|Закарпатська|Кіровоградська|Львівська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька
Mycena pura,Івано-Франківська|АР Крим|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Mycena galericulata,Івано-Франківська|АР Крим|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Mycena polygramma,Івано-Франківська|АР Крим|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Mycena haematopus,АР Крим|Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Mycena rosella,Івано-Франківська|Закарпатська|Кіровоградська|Львівська|Полтавська|Харківська|Чернівецька
Mycena epipterygia,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Тернопільська|Хмельницька|Черкаська|Чернівецька
Mycena inclinata,Івано-Франківська|АР Крим|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Mycena aetites,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Mycena galopus,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Тернопільська|Хмельницька|Чернівецька
Mycena sanguinolenta,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Тернопільська|Хмельницька|Чернівецька
Marasmius oreades,АР Крим|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська|Чернігівська
Marasmius alliaceus,Івано-Франківська|АР Крим|Вінницька|Закарпатська|Львівська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька
Marasmius scorodonius,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Marasmius prasiosmus,Івано-Франківська|Житомирська|Київська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька
Marasmius rotula,Івано-Франківська|АР Крим|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька
Marasmius epiphyllus,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Entoloma clypeatum,Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська
Entoloma rhodopolium,Івано-Франківська|АР Крим|Вінницька|Житомирська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська
Entoloma nidorosum,Житомирська|Київська|Кіровоградська|Полтавська|Рівненська|Харківська|Хмельницька
Entoloma sericeum,Волинська|Вінницька|Дніпропетровська|Житомирська|Київська|Кіровоградська|Миколаївська|Одеська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська
Entoloma jubatum,Житомирська|Київська|Полтавська|Рівненська|Харківська|Хмельницька
Entoloma aprile,Вінницька|Кіровоградська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська
Pluteus cervinus,АР Крим|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Pluteus salicinus,Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Полтавська|Рівненська|Харківська|Хмельницька
Hygrophorus eburneus,Івано-Франківська|АР Крим|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька
Hygrophorus chrysodon,Івано-Франківська|АР Крим|Львівська|Полтавська|Тернопільська|Харківська|Чернівецька
Hygrophorus hypothejus,Івано-Франківська|АР Крим|Волинська|Житомирська|Київська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська
Hygrophorus olivaceo-albus,Волинська|Житомирська|Київська|Львівська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Hygrophorus russula,Івано-Франківська|Житомирська|Київська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька
Hygrophorus pratensis,Івано-Франківська|Кіровоградська|Львівська|Полтавська|Тернопільська|Харківська
Hygrophorus nemoreus,Івано-Франківська|АР Крим|Кіровоградська|Львівська|Полтавська|Тернопільська|Харківська
Hygrophorus camarophyllus,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Сумська|Чернівецька|Чернігівська
Hygrophorus virgineus,Івано-Франківська|Волинська|Житомирська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська
Hygrophorus fornicatus,Івано-Франківська|Кіровоградська|Львівська|Полтавська|Тернопільська|Харківська
Hygrophorus foetens,Волинська|Житомирська|Київська|Рівненська
Hygrophorus capreolarius,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Чернівецька
Hygrophorus marzuolus,Івано-Франківська|Закарпатська|Львівська|Чернівецька
Hygrophorus penarius,Івано-Франківська|Закарпатська|Львівська|Полтавська|Харківська|Чернівецька
Hygrophorus lucorum,Івано-Франківська|Кіровоградська|Львівська|Полтавська|Тернопільська|Харківська
Coprinus comatus,АР Крим|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська|Чернігівська
Coprinus atramentarius,АР Крим|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Coprinus micaceus,АР Крим|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Coprinus radians,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Coprinus lagopus,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Hypholoma fasciculare,АР Крим|Волинська|Вінницька|Житомирська|Київська|Кіровоградська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Hypholoma capnoides,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Stropharia aeruginosa,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Pholiota squarrosa,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Pholiota aurivella,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Cortinarius violaceus,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Сумська|Тернопільська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Cortinarius armillatus,Волинська|Житомирська|Київська|Львівська|Рівненська|Сумська|Тернопільська|Хмельницька|Чернігівська
Cortinarius triumphans,Волинська|Житомирська|Київська|Львівська|Рівненська|Сумська|Тернопільська|Хмельницька|Чернігівська
Inocybe rimosa,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Inocybe fastigiata,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Macrolepiota rhacodes,АР Крим|Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Lepiota clypeolaria,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Lepiota cristata,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Lepiota felina,Волинська|Житомирська|Київська|Рівненська
Lepiota lilacea,АР Крим|Житомирська|Київська|Кіровоградська|Полтавська|Рівненська|Харківська|Хмельницька
Lyophyllum decastes,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Lyophyllum connatum,Кіровоградська|Полтавська|Харківська
Lyophyllum ulmarium,Кіровоградська|Полтавська|Харківська
Lyophyllum loricatum,Кіровоградська|Полтавська|Харківська
Lyophyllum immundum,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Тернопільська|Хмельницька|Черкаська|Чернівецька
Pleurotus cornucopiae,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Pleurotus calyptratus,Дніпропетровська|Донецька|Запорізька|Луганська|Миколаївська|Одеська|Херсонська
Pleurotus eryngii,Дніпропетровська|Донецька|Запорізька|Луганська|Миколаївська|Одеська|Херсонська
Lentinus tigrinus,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська
Lentinus cyathiformis,Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Полтавська|Харківська
Lentinus lepideus,Івано-Франківська|Волинська|Дніпропетровська|Донецька|Житомирська|Закарпатська|Запорізька|Київська|Луганська|Львівська|Полтавська|Рівненська|Харківська|Чернівецька
Schizophyllum commune,АР Крим|Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська|Чернігівська
Volvariella speciosa,Івано-Франківська|Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Львівська|Миколаївська|Одеська|Полтавська|Тернопільська|Харківська
Volvariella bombycina,Івано-Франківська|Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Львівська|Полтавська|Тернопільська|Харківська
Pluteus atromarginatus,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Чернівецька
