scientific_name,twin_name,twin_status,distinguishing
Porphyrellus porphyrosporus,Tylopilus felleus,неїстівний,"пори рожеві, м’якуть дуже гіркий, ніжка з темною сіткою."
Porphyrellus porphyrosporus,Boletus calopus,неїстівний,"м’якуть гіркий, ніжка з червоною сіткою."
Gomphidius glutinosus,Gomphidius rutilus,їстівний,"шапка пурпурово-коричнева, ніжка жовто- або червоно-коричнева, без кільця."
Gomphidius glutinosus,Gomphidius roseus,їстівний,"шапка рожева, ніжка біла, біля основи м’ясо-червона."
Gomphidius roseus,Gomphidius glutinosus,їстівний,"шапка пурпурово-сіра, ніжка з жовтою основою."
Gomphidius roseus,Gomphidius rutilus,їстівний,"шапка пурпурово-коричнева, ніжка жовто- або червоно-коричнева."
Gomphidius rutilus,Gomphidius glutinosus,їстівний,"шапка пурпурово-сіра, ніжка біля основи жовта, з кільцем."
Gomphidius rutilus,Gomphidius maculatus,їстівний,"шапка біла → м’ясо-червоно-коричнева, ніжка без кільця."
Gomphidius maculatus,Gomphidius rutilus,їстівний,"шапка пурпурово-коричнева, ніжка жовто- або червоно-коричнева."
Gomphidius maculatus,Gomphidius glutinosus,їстівний,"шапка пурпурово-сіра, ніжка з кільцем."
Paxillus atrotomentosus,Paxillus involutus,умовно-їстівний,"шапка сірувато-рудувата, ніжка центральна, не чорна."
Paxillus atrotomentosus,Paxillus panuoides,умовно-їстівний низької якості,"шапка жовтувата, ніжка коротка або відсутня."
Paxillus panuoides,Paxillus atrotomentosus,умовно-їстівний низької якості,"ніжка чорно-коричнева, повстиста."
Paxillus panuoides,Paxillus involutus,умовно-їстівний,"шапка сірувато-рудувата, ніжка центральна."
Ripartites tricholoma,Ripartites helomorpha,їстівний,"шапка бурувато-жовтувата, з ребристим краєм, спори 3–4 × 3–3,6 мкм."
Ripartites tricholoma,Paxillus involutus,умовно-їстівний,"шапка сірувато-рудувата, пластинки легко відділяються, але ніжка товстіша."
Ripartites helomorpha,Ripartites tricholoma,їстівний,"шапка брудно- або сірувато-біла, спори кулясті, 4–5 мкм."
Ripartites helomorpha,Paxillus involutus,умовно-їстівний,"шапка сірувато-рудувата, ніжка товстіша, пластинки з анастомозами."
Lactarius sanguifluus,Lactarius deliciosus,їстівний,"молочний сік оранжево-червоний, шапка з концентричними зонами."
Lactarius sanguifluus,Lactarius semisanguifluus,їстівний,"молочний сік оранжевий, на повітрі пурпуровий, шапка брудно-оранжева."
Lactarius semisanguifluus,Lactarius sanguifluus,їстівний,"молочний сік криваво-червоний, не змінюється, шапка без концентричних зон."
Lactarius semisanguifluus,Lactarius deliciosus,їстівний,"молочний сік оранжево-червоний, шапка з концентричними зонами."
Lactarius fuliginosus,Lactarius acris,неїстівний,"шапка сірувато-руда, молочний сік білий, на повітрі червоніє."
Lactarius fuliginosus,Lactarius lignyotus,їстівний,"шапка чорнувато-коричнева, ніжка довша за діаметр шапки."
Lactarius acris,Lactarius fuliginosus,умовно-їстівний,"шапка сірувато-кремова, молочний сік солодкий або гіркуватий."
Lactarius acris,Lactarius lignyotus,їстівний,"шапка чорнувато-коричнева, ніжка довша за діаметр шапки."
Lactarius chrysorrheus,Lactarius theiogalus,неїстівний,"шапка м’ясо-цегляна, молочний сік на повітрі сірчано-жовтий, але шапка дрібніша."
Lactarius chrysorrheus,Lactarius scrobiculatus,умовно-їстівний,"шапка жовта, слизька, більша, росте в хвойних лісах."
Lactarius theiogalus,Lactarius chrysorrheus,неїстівний,"шапка вохряно-червонувато-оранжева, більша (4–9 см)."
Lactarius theiogalus,Lactarius hepaticus,неїстівний,"шапка червоно-коричнева, пластинки червонувато-рудуваті."
Lactarius hepaticus,Lactarius chrysorrheus,неїстівний,"шапка вохряно-червонувато-оранжева, з концентричними зонами."
Lactarius hepaticus,Lactarius theiogalus,неїстівний,"шапка м’ясо-цегляна, меншого розміру."
Lactarius scrobiculatus,Lactarius repraesentaneus,умовно-їстівний,"шапка яскраво-жовта, молочний сік на повітрі ліловіє."
Lactarius scrobiculatus,Lactarius chrysorrheus,неїстівний,"шапка менша, без слизу."
Lactarius trivialis,Lactarius glutinopallens,їстівний,"плодові тіла меншого розміру, світліша й слизькіша шапка."
Lactarius trivialis,Lactarius vietus,умовно-їстівний,"шапка лілувато-сіра, менша, молочний сік на повітрі оливково- або зелено-сірий."
Lactarius musteus,Lactarius trivialis,умовно-їстівний,"шапка лілувато-сиза, більша, слизька."
Lactarius musteus,Lactarius vietus,умовно-їстівний,"шапка лілувато-сіро-коричнювата, менша."
Lactarius rubrocinctus,Lactarius hepaticus,неїстівний,"шапка червоно-коричнева, пластинки червонувато-рудуваті, молочний сік на повітрі темно-жовтий."
Lactarius rubrocinctus,Lactarius chrysorrheus,неїстівний,"шапка вохряно-червонувато-оранжева, молочний сік жовтіє."
Lactarius glaucescens,Lactarius piperatus,їстівний,"пластинки дуже густі, вузькі, молочний сік не зеленіє або дуже повільно."
Lactarius glaucescens,Lactarius vellereus,умовно-їстівний,"шапка повстиста, шорстка, біла."
Lactarius blennius,Lactarius vietus,умовно-їстівний,"шапка лілувато-сіро-коричнювата, молочний сік на повітрі оливково- або зелено-сірий."
Lactarius blennius,Lactarius glaucescens,їстівний,"шапка біла, кремова, молочний сік зеленіє."
Lactarius vietus,Lactarius trivialis,умовно-їстівний,"шапка більша, дуже слизька, з запахом оселедця."
Lactarius vietus,Lactarius blennius,їстівний,"шапка зеленувато-сіра, росте в букових лісах."
Lactarius uvidus,Lactarius aspideus,неїстівний,"шапка білувато-жовта, молочний сік повільно ліловіє."
Lactarius uvidus,Lactarius violascens,неїстівний,"шапка фіолетово-коричнева, при натиску червонувато-фіолетова."
Lactarius violascens,Lactarius uvidus,умовно-їстівний,"шапка фіолетово-сіра, слизька, молочний сік ліловіє."
Lactarius violascens,Lactarius aspideus,неїстівний,шапка білувато-жовта.
Lactarius aspideus,Lactarius repraesentaneus,умовно-їстівний,"шапка яскраво-жовта, більша, молочний сік ліловіє."
Lactarius aspideus,Lactarius uvidus,умовно-їстівний,шапка фіолетово-сіра.
Lactarius repraesentaneus,Lactarius scrobiculatus,умовно-їстівний,"шапка жовта, слизька, молочний сік на повітрі сірчано-жовтий, не ліловіє."
Lactarius repraesentaneus,Lactarius aspideus,неїстівний,"шапка білувато-жовта, дрібніша."
Lactarius pubescens,Lactarius torminosus,умовно-їстівний,"шапка волокнисто-пластівчаста, цегляно-рожева, з зонами."
Lactarius pubescens,Lactarius controversus,умовно-їстівний,"шапка світло-кремова з рожевими плямами, під осикою/тополею."
Lactarius controversus,Lactarius torminosus,умовно-їстівний,"шапка волохата, цегляно-рожева."
Lactarius controversus,Lactarius pubescens,умовно-їстівний,"шапка волохата, біла/кремова, під березою."
Lactarius turpis,Lactarius mammosus,неїстівний,"шапка сіро-коричнева, молочний сік солодкуватий, потім гіркий."
Lactarius turpis,Lactarius flexuosus,умовно-їстівний,шапка брудно-лілово-сіра.
Lactarius mammosus,Lactarius turpis,умовно-їстівний,"шапка оливково-коричнева, молочний сік пекуче-їдкий."
Lactarius mammosus,Lactarius flexuosus,умовно-їстівний,шапка сіро-лілувата.
Lactarius flexuosus,Lactarius trivialis,умовно-їстівний,"шапка лілувато-сиза, слизька, більша."
Lactarius flexuosus,Lactarius mammosus,неїстівний,"шапка сіро-коричнева, дрібніша."
Lactarius spinosulus,Lactarius lilacinus,неїстівний,"шапка дрібнолуската, не стовбурчаста, м’якуть на зламі жовтувато-зеленуватий."
Lactarius spinosulus,Lactarius glycyosmus,їстівний,"шапка гола або дрібнолуската, запах ароматний."
Russula maculata,Russula rubra,неїстівна,"шапка рівномірно червона, без плям."
Russula maculata,Russula emetica,отруйна,"шапка рожево-цегляна, м'якоть біла, не рудіє."
Russula rubra,Russula maculata,неїстівна,"шапка плямиста, оранжево-червона."
Russula rubra,Russula emetica,отруйна,"шапка рожево-цегляна, м'якоть під шкіркою червона, пекуче-їдка."
Russula sanguinea,Russula emetica,отруйна,"шапка рожево-цегляна, м'якоть під шкіркою червона, але росте в листяних лісах."
Russula sanguinea,Russula badia,неїстівна,"шапка пурпурово-коричнева, м'якоть дуже їдка."
Russula badia,Russula sardonia,неїстівна,"шапка темно-фіолетова, пластинки жовті."
Russula badia,Russula queletii,неїстівна,"шапка фіолетово-пурпурова, росте в ялинових лісах."
Russula sardonia,Russula badia,неїстівна,"шапка пурпурово-коричнева, пластинки білуваті."
Russula sardonia,Russula queletii,неїстівна,"шапка фіолетово-пурпурова, пластинки білі, при дотику зеленіють."
Russula queletii,Russula sardonia,неїстівна,"шапка темно-фіолетова, пластинки жовті, не зеленіють."
Russula queletii,Russula badia,неїстівна,"шапка пурпурово-коричнева, м'якоть пахне деревиною."
Russula rosea,Russula lepida,неїстівна,"шапка яскраво-цегляно-червона, м'якоть з неприємним запахом, пластинки гіркі."
Russula rosea,Russula pseudointegra,їстівна низької якості,"шапка рожево-червона, м'якоть дуже гірка, з фруктовим запахом."
Russula pseudointegra,Russula lepida,неїстівна,"шапка яскраво-цегляно-червона, пластинки гіркі, м'якоть із неприємним запахом."
Russula pseudointegra,Russula rosea,їстівна низької якості,"шапка рожево-червона, м'якоть менш гірка, без фруктового запаху."
Russula caerulea,Russula firmula,неїстівна,"шапка темно-фіолетова, м'якоть у шапці й пластинках їдка."
Russula caerulea,Russula turci,їстівна,"пахне йодоформом біля основи ніжки, шапка синювато-фіолетова."
Russula nauseosa,Russula turci,їстівна,"шапка синювато-фіолетова, пахне йодоформом біля основи ніжки."
Russula nauseosa,Russula puellaris,їстівна,"ніжка жовтіє при натисканні, пластинки не їдкі."
Tricholoma album,Tricholoma sulphureum,отруйна,"шапка сірчано-жовта, запах дуже неприємний."
Tricholoma album,Tricholoma sejunctum,неїстівна,шапка оливково-жовта з темними волокнами.
Tricholoma sulphureum,Tricholoma album,отруйна,"шапка біла, без жовтого відтінку."
Tricholoma sulphureum,Tricholoma equestre,їстівна (зеленушка),"шапка оливково-жовта, м'якоть без неприємного запаху."
Tricholoma virgatum,Tricholoma terreum,їстівна,"шапка сіра, без чорних волокон, м'якоть не гірка."
Tricholoma virgatum,Tricholoma portentosum,їстівна,"шапка сірувато-оливкова, м'якоть солодка."
Tricholoma vaccinum,Tricholoma imbricatum,неїстівна,"шапка рудувато-бура, черепичасто-луската."
Tricholoma vaccinum,Tricholoma pessundatum,отруйна,"шапка руда, м'якоть на зламі рудіє."
Tricholoma imbricatum,Tricholoma vaccinum,неїстівна,"шапка червоно-коричнева, шерстисто-повстиста."
Tricholoma imbricatum,Tricholoma pessundatum,отруйна,"шапка руда, м'якоть на зламі рудіє."
Tricholoma pessundatum,Tricholoma populinum,їстівна,"росте під тополями, м'якоть на зламі рудіє, але шапка світліша."
Tricholoma pessundatum,Tricholoma imbricatum,неїстівна,"шапка черепичасто-луската, м'якоть не рудіє."
Tricholoma populinum,Tricholoma pessundatum,отруйна,"росте в соснових лісах, м'якоть на зламі рудіє."
Tricholoma populinum,Tricholoma imbricatum,неїстівна,шапка черепичасто-луската.
Tricholoma saponaceum,Tricholoma sejunctum,неїстівна,"шапка оливково-жовта, без запаху мила."
Tricholoma saponaceum,Tricholoma album,отруйна,"шапка біла, без сірого відтінку."
Tricholoma sejunctum,Tricholoma saponaceum,неїстівна,"шапка сірувата, запах мила."
Tricholoma sejunctum,Tricholoma equestre,їстівна,"шапка оливково-жовта, м'якоть солодка."
Tricholoma orirubens,Tricholoma saponaceum,неїстівна,"шапка сірувата, запах мила, м'якоть не рожевіє."
Tricholoma orirubens,Tricholoma virgatum,отруйна,"шапка сіра, м'якоть дуже гірка, не рожевіє."
Clitocybe nebularis,Clitocybe gigantea,їстівна,"шапка біла, більша (до 40 см), без фруктового запаху."
Clitocybe nebularis,Clitocybe phyllophila,отруйна,"шапка біла, пластинки білі, м'якоть з запахом борошна, містить мускарин."
Clitocybe geotropa,Clitocybe gigantea,їстівна,"шапка біла, більша, пластинки білі."
Clitocybe geotropa,Clitocybe infundibuliformis,їстівна,"шапка рудувато-жовта, дрібніша (до 15 см)."
Clitocybe gigantea,Clitocybe geotropa,їстівна,"шапка брудно-жовтувата, менша (до 20 см)."
Clitocybe gigantea,Clitocybe nebularis,умовно-їстівна,"шапка сіра, з фруктовим запахом."
Clitocybe odora,Clitocybe suaveolens,їстівна,"шапка білувата, менша, анісовий запах слабший."
Clitocybe odora,Clitocybe rivulosa,отруйна,"шапка біла з зонами, без анісового запаху."
Clitocybe clavipes,Clitocybe nebularis,умовно-їстівна,"шапка сіра, більша, з фруктовим запахом."
Clitocybe clavipes,Clitocybe geotropa,їстівна,"шапка рудувата, ніжка не булавовидна."
Clitocybe infundibuliformis,Clitocybe geotropa,їстівна,"шапка брудно-жовтувата, більша (до 20 см)."
Clitocybe infundibuliformis,Clitocybe squamulosa,їстівна,"шапка дрібнолуската, бурувато-жовта."
Clitocybe rivulosa,Clitocybe dealbata,отруйна,"шапка біла, без зон, м'якоть з запахом борошна, містить мускарин."
Clitocybe rivulosa,Clitocybe phyllophila,отруйна,"шапка біла, пластинки білі, м'якоть з запахом борошна."
Clitocybe phyllophila,Clitocybe dealbata,отруйна,"шапка біла, без запаху борошна, росте на луках."
Clitocybe phyllophila,Clitocybe nebularis,умовно-їстівна,"шапка сіра, з фруктовим запахом."
Clitocybe suaveolens,Clitocybe odora,їстівна,"шапка зелена, більша, анісовий запах сильніший."
Clitocybe suaveolens,Clitocybe fragrans,їстівна,"шапка жовтувато-білувата, менша, анісовий запах."
Clitocybe brumalis,Clitocybe nebularis,умовно-їстівна,"шапка сіра, більша, з фруктовим запахом."
Clitocybe brumalis,Clitocybe clavipes,неїстівна,ніжка булавовидно потовщена.
Collybia dryophila,Collybia confluens,їстівна,"ніжки зростаються у щільні групи, шапка рожевувато-сірувато-жовта."
Collybia dryophila,Collybia butyracea,їстівна,"шапка рудувато-сірувата, з маслянистим запахом."
Collybia peronata,Collybia dryophila,їстівна,"шапка світліша, м'якоть не гірка."
Collybia peronata,Collybia butyracea,їстівна,"шапка рудувато-сірувата, з маслянистим запахом."
Collybia confluens,Collybia dryophila,їстівна,ніжки не зростаються у щільні групи.
Collybia confluens,Collybia butyracea,їстівна,"шапка рудувато-сірувата, з маслянистим запахом."
Collybia maculata,Collybia dryophila,їстівна,"шапка без плям, м'якоть не гірка."
Collybia maculata,Collybia confluens,їстівна,ніжки зростаються у щільні групи.
Collybia butyracea,Collybia dryophila,їстівна,"шапка білувата, без маслянистого запаху."
Collybia butyracea,Collybia confluens,їстівна,ніжки зростаються у щільні групи.
Collybia fusipes,Collybia dryophila,їстівна,"ніжка не веретеновидна, шапка світліша."
Collybia fusipes,Collybia maculata,неїстівна,"шапка з рудуватими плямами, м'якоть гірка."
Mycena pura,Mycena rosea,отруйна,"шапка рожева, більша, без лілуватого відтінку."
Mycena pura,Mycena galericulata,неїстівна,"шапка сіра або коричнювато-сіра, без лілуватого відтінку."
Mycena galericulata,Mycena polygramma,неїстівна,"шапка штрихувата, ніжка зморшкувато-рубчаста."
Mycena galericulata,Mycena pura,отруйна,"шапка лілувато-рожева, запах редьки."
Mycena polygramma,Mycena galericulata,неїстівна,"шапка не штрихувата, ніжка гладенька."
Mycena polygramma,Mycena pura,отруйна,"шапка лілувато-рожева, запах редьки."
Mycena haematopus,Mycena sanguinolenta,неїстівна,при пошкодженні виділяє коричнювато-червоний сік.
Mycena haematopus,Mycena galericulata,неїстівна,"шапка сіра, без червоного соку."
Mycena rosella,Mycena epipterygia,неїстівна,має слизьку шапку й лимонно-жовту ніжку.
Mycena rosella,Mycena sanguinolenta,неїстівна,виділяє червоний сік при пошкодженні.
Mycena epipterygia,Інші міцени,неїстівні,жодна з них не має одночасно клейкої шапки й лимонно-жовтої клейкої ніжки.
Mycena epipterygia,Rickenella,неїстівні,мають білі пластинки й неслизьку ніжку.
Mycena inclinata,Mycena galericulata,неїстівна,ніжка не нахилена і не має червонуватої основи.
Mycena inclinata,Інші міцени,неїстівні,не мають нахиленої ніжки з червоно-коричневою основою.
Mycena aetites,Інші міцени,неїстівні,не мають різкого аміачного запаху.
Mycena aetites,Inocybe,отруйні,"пластинки з часом стають буруватими, запах інший."
Mycena galopus,Mycena sanguinolenta,неїстівна,виділяє червоний сік.
Mycena galopus,Інші міцени,неїстівні,не дають білого соку при пошкодженні.
Mycena sanguinolenta,Mycena galopus,неїстівна,виділяє білий сік.
Mycena sanguinolenta,Інші міцени,неїстівні,не мають червоного соку.
Marasmius oreades,Інші дрібні лугові гриби,неїстівні,не утворюють «відьминих кілець» і мають інший запах.
Marasmius oreades,Clitocybe rivulosa,отруйна,"шапка біла з зонами, без горбочка, пластинки білі, різкий неприємний запах."
Marasmius alliaceus,Marasmius scorodonius,їстівний,"дрібніший, ніжка коротша."
Marasmius alliaceus,Інші часничники,їстівні,інший колір шапки та ніжки.
Marasmius scorodonius,Marasmius alliaceus,їстівний,"значно більший, ніжка довша й темніша."
Marasmius scorodonius,Інші дрібні часничники,їстівні,слабший запах або інше забарвлення.
Marasmius prasiosmus,Інші часничники,їстівні,інший колір шапки та ніжки.
Marasmius prasiosmus,Деякі міцени,неїстівні,не мають часникового запаху.
Marasmius rotula,Marasmius bulliardii,неїстівний,"пластинки доходять до ніжки, не утворюють коларіуму."
Marasmius rotula,Інші дрібні маразмії,неїстівні,не мають коларіуму.
Marasmius epiphyllus,Marasmius rotula,неїстівний,має коларіум і темнішу ніжку.
Marasmius epiphyllus,Інші дрібні маразмії,неїстівні,мають інший колір шапки або не ростуть на листі.
Entoloma clypeatum,Entoloma sinuatum,отруйна,"шапка більша (до 20 см), брудно-біла або світло-сіра, пластинки жовтуваті, дуже отруйна."
Entoloma clypeatum,Entoloma rhodopolium,отруйна,"шапка тонком’ясиста, сіра або оливкувато-сіра, пластинки білуваті, м’якуш з неприємним запахом."
Entoloma rhodopolium,Entoloma clypeatum,їстівна,"шапка товстом’ясиста, брудно-біла, з підземним виростом, росте навесні."
Entoloma rhodopolium,Entoloma sinuatum,отруйна,"шапка більша, брудно-біла, пластинки жовтуваті."
Entoloma nidorosum,Entoloma rhodopolium,отруйна,"м’якуш пахне борошном, а не аміаком."
Entoloma nidorosum,Entoloma sericeum,їстівна низької якості,"шапка темно-буро-коричнева, м’якуш з запахом борошна."
Entoloma sericeum,Entoloma nidorosum,отруйна,м’якуш пахне аміаком.
Entoloma sericeum,Entoloma rhodopolium,отруйна,"шапка оливкувато-сіра, м’якуш з неприємним запахом при підсиханні."
Entoloma jubatum,Entoloma sericeum,їстівна,"шапка темно-буро-коричнева, гола, а не бархатиста."
Entoloma jubatum,Entoloma rhodopolium,отруйна,"шапка оливкувато-сіра, гола."
Entoloma aprile,Entoloma clypeatum,їстівна,"шапка товстом’ясиста, брудно-біла або сіра, росте в садах."
Entoloma aprile,Entoloma rhodopolium,отруйна,"шапка оливкувато-сіра, пластинки білуваті."
Pluteus cervinus,Pluteus salicinus,їстівний умовно,"шапка сріблясто- або синювато-сіра, м’якуш на зламі зеленіє."
Pluteus cervinus,Інші плютеї,їстівні,інший колір шапки та пластинок.
Pluteus salicinus,Pluteus cervinus,їстівний,"шапка коричнева, сірувато-бура, м’якуш не зеленіє."
Pluteus salicinus,Інші синюваті плютеї,їстівні умовно,інший колір шапки та ніжки.
Hygrophorus eburneus,Hygrophorus penarius,їстівний,"шапка кольору шкіри, жовтувата, ніжка з кореневидним виростом."
Hygrophorus eburneus,Hygrophorus chrysodon,їстівний,шапка з лимонно-жовтим зернистим нальотом по краю.
Hygrophorus chrysodon,Hygrophorus eburneus,їстівний,"шапка чисто біла, без жовтого зернистого нальоту."
Hygrophorus chrysodon,Hygrophorus gliocyclus,їстівний,"шапка жовта, дуже слизька, без зернистого нальоту."
Hygrophorus hypothejus,Hygrophorus olivaceo-albus,їстівний,"шапка оливково-коричнева, ніжка з кільцевидним потовщенням, біла."
Hygrophorus hypothejus,Hygrophorus gliocyclus,їстівний,"шапка жовта або білувата, без оливкового відтінку."
Hygrophorus olivaceo-albus,Hygrophorus hypothejus,їстівний,"шапка оливково-бура, ніжка лимонно-жовта, без кільцевидного потовщення."
Hygrophorus olivaceo-albus,Hygrophorus agathosmus,неїстівний,"шапка сіра, пахне мигдалем."
Hygrophorus russula,Hygrophorus capreolarius,їстівний,"все плодове тіло кольору вина, ніжка сітчаста."
Hygrophorus russula,Russula,їстівні/неїстівні,"м’якоть крихка, пластинки не такі густі, спори шипасті."
Hygrophorus pratensis,Hygrophorus nemoreus,їстівний,"шапка рудувато-оранжева, але суха, шорстка, ніжка волокнисто-штрихувата."
Hygrophorus pratensis,Hygrophorus virgineus,їстівний,"шапка біла, гола, пластинки рідкі."
Hygrophorus nemoreus,Hygrophorus pratensis,їстівний,"шапка рудувато-оранжева, гола, гладенька, пластинки дуже рідкі."
Hygrophorus nemoreus,Hygrophorus camarophyllus,їстівний,"шапка коричнево-сіра, ніжка з підземним виростом."
Hygrophorus camarophyllus,Hygrophorus nemoreus,їстівний,"шапка рудувато-оранжева, без підземного виросту."
Hygrophorus camarophyllus,Hygrophorus penarius,їстівний,"шапка кольору шкіри, ніжка з кореневидним виростом."
Hygrophorus virgineus,Hygrophorus fornicatus,їстівний,"шапка біла, але з оливковим або коричнюватим відтінком у центрі, ніжка довша."
Hygrophorus virgineus,Hygrophorus niveus,їстівний,"шапка тонша, рубчаста, майже прозора, ніжка з порожниною."
Hygrophorus fornicatus,Hygrophorus virgineus,їстівний,"шапка чисто біла, без оливкового відтінку."
Hygrophorus fornicatus,Hygrophorus niveus,їстівний,"шапка рубчаста, майже прозора."
Hygrophorus foetens,Hygrophorus pratensis,їстівний,"шапка рудувато-оранжева, з приємним запахом."
Hygrophorus foetens,Інші гігрофори,їстівні,не мають такого неприємного запаху.
Hygrophorus capreolarius,Hygrophorus russula,їстівний,"шапка рожево-пурпурова, слизька, ніжка не сітчаста."
Hygrophorus capreolarius,Gomphidius rutilus,їстівний,"шапка слизька, пластинки чорніють, спори чорні."
Hygrophorus marzuolus,Hygrophorus camarophyllus,їстівний,"шапка коричнево-сіра, волокниста, ніжка з підземним виростом."
Hygrophorus marzuolus,Hygrophorus penarius,їстівний,"шапка кольору шкіри, ніжка з кореневидним виростом."
Hygrophorus penarius,Hygrophorus eburneus,їстівний,"шапка чисто біла, дуже слизька, без кореневидного виросту."
Hygrophorus penarius,Hygrophorus chrysodon,їстівний,"шапка з лимонно-жовтим зернистим нальотом, ніжка з кільцевидним потовщенням."
Hygrophorus lucorum,Hygrophorus gliocyclus,їстівний,"шапка жовта, дуже слизька, ніжка з вузьким клейким кільцем."
Hygrophorus lucorum,Hygrophorus hypothejus,їстівний,"шапка оливково-бура, ніжка лимонно-жовта."
Coprinus comatus,Coprinus atramentarius,умовно-їстівний,"шапка сірувато-коричнева, без кільця."
Coprinus comatus,Coprinus micaceus,їстівний (молодий),"шапка жовтувато-коричнева, з блискучими зернятками."
Coprinus atramentarius,Coprinus comatus,їстівний (молодий),"шапка циліндрична, біла, з кільцем на ніжці."
Coprinus atramentarius,Coprinus micaceus,їстівний (молодий),"шапка жовтувато-коричнева, з блискучими зернятками."
Coprinus micaceus,Coprinus comatus,їстівний (молодий),"шапка циліндрична, біла, більша, з кільцем."
Coprinus micaceus,Coprinus atramentarius,умовно-їстівний,"шапка сірувато-коричнева, без блискучих зерняток."
Coprinus radians,Coprinus micaceus,їстівний (молодий),"шапка жовтувато-коричнева, з блискучими зернятками."
Coprinus radians,Coprinus comatus,їстівний (молодий),"шапка циліндрична, біла, більша."
Coprinus lagopus,Coprinus micaceus,їстівний (молодий),шапка з блискучими зернятками.
Coprinus lagopus,Coprinus radians,неїстівний,"шапка жовтувато-оранжева, з волокнистими лусками."
Hypholoma fasciculare,Hypholoma capnoides,їстівний,"пластинки димчасто-сірі, м’якуш не гіркий."
Hypholoma fasciculare,Armillaria mellea,умовно-їстівний,"пластинки білуваті або кремові, з кільцем на ніжці."
Hypholoma capnoides,Hypholoma fasciculare,отруйний,"пластинки сірчано-жовті, м’якуш дуже гіркий."
Hypholoma capnoides,Armillaria mellea,умовно-їстівний,з кільцем на ніжці.
