scientific_name,cooking_note,requires_cooking,taste_note,storage_note
Gomphidius roseus,смажити після видалення слизької шкірки.,false,середня.,"росте виключно в соснових лісах, часто серед моху."
Gomphidius rutilus,смажити після видалення слизької шкірки.,false,середня.,"росте виключно в хвойних лісах, часто групами."
Gomphidius maculatus,смажити після видалення слизької шкірки.,false,середня.,росте виключно в модринових насадженнях; рідкісний вид.
Paxillus atrotomentosus,вживати лише після тривалого відварювання; відвар злити.,true,низька.,містить термостабільні токсини; може викликати алергічні реакції.
Paxillus panuoides,вживати лише після тривалого відварювання; відвар злити.,true,низька.,поліморфний вид; плодові тіла з ексцентричною ніжкою нагадують види роду Crepidotus.
Ripartites tricholoma,"смажити, варити; відварювання не обов’язкове.",true,низька.,рідкісний вид; належить до родини Paxillaceae.
Ripartites helomorpha,"смажити, варити; відварювання не обов’язкове.",true,низька.,"рідкісний вид; спори 3–4 × 3–3,6 мкм."
Lactarius sanguifluus,"смажити, варити, солити, маринувати; відварювання не обов’язкове.",true,висока.,"цінний їстівний гриб, один з найкращих рижиків."
Lactarius semisanguifluus,"смажити, варити, солити, маринувати; відварювання не обов’язкове.",true,висока.,цінний їстівний гриб; молочний сік на повітрі змінює колір на пурпуровий.
Lactarius fuliginosus,вживати лише після відварювання; відвар злити.,true,низька.,"близький до Lactarius picinus, який росте в хвойних гірських лісах."
Lactarius acris,не вживати.,false,неїстівний.,пекуче-їдкий смак; молочний сік на повітрі червоніє.
Lactarius chrysorrheus,не вживати.,false,неїстівний.,молочний сік швидко жовтіє; пекуче-їдкий смак.
Lactarius theiogalus,не вживати.,false,неїстівний.,росте у вологих місцях; молочний сік жовтіє.
Lactarius hepaticus,не вживати.,false,неїстівний.,рідкісний вид; пластинки мають оранжевий відтінок.
Lactarius scrobiculatus,вживати лише після тривалого відварювання; відвар злити.,true,низька.,пекуче-їдкий сік; росте в гірських хвойних лісах.
Lactarius trivialis,вживати лише після тривалого відварювання; відвар злити.,true,середня.,часом плутають з Lactarius vietus; росте у вологих хвойних лісах.
Lactarius musteus,не вживати.,false,неїстівний.,рідкісний вид; росте серед мохів та лишайників.
Lactarius rubrocinctus,не вживати.,false,неїстівний.,шапка з характерним рубчастим краєм; молочний сік коричневіє.
Lactarius glaucescens,"смажити, варити, солити після відварювання; відвар злити.",true,середня.,молочний сік зеленіє; близький до Lactarius piperatus.
Lactarius blennius,"смажити, варити, солити після відварювання; відвар злити.",true,середня.,росте в букових лісах; молочний сік зеленіє.
Lactarius vietus,вживати лише після відварювання; відвар злити.,true,низька.,молочний сік на повітрі набуває оливково-сірого відтінку.
Lactarius uvidus,вживати лише після відварювання; відвар злити.,true,низька.,молочний сік на повітрі ліловіє.
Lactarius violascens,не вживати.,false,неїстівний.,належить до групи видів із ліловіючим молочним соком.
Lactarius aspideus,не вживати.,false,неїстівний.,рідкісний вид; росте під вербою.
Lactarius repraesentaneus,вживати після відварювання; відвар злити.,true,середня.,молочний сік і м’якуть на зламі ліловіють.
Lactarius pubescens,вживати після відварювання; відвар злити.,true,низька.,росте на торфовищах; пекуче-їдкий.
Lactarius controversus,вживати після відварювання; відвар злити.,true,середня.,росте під осикою та тополею.
Lactarius turpis,вживати після відварювання; відвар злити.,true,середня.,на зламі м’якуть темніє.
Lactarius mammosus,не вживати.,false,неїстівний.,"молочний сік солодкуватий, потім гіркий."
Lactarius flexuosus,вживати після відварювання; відвар злити.,true,низька.,"пластинки рідкі, з проміжними жилками."
Lactarius spinosulus,не вживати.,false,"неїстівний, рідкісний.",шапка стовбурчастолуската; м’якуть на зламі зеленіє.
Russula albonigra,тільки після відварювання (відвар злити).,true,низька.,
Russula nigricans,після відварювання (відвар злити).,true,низька.,
Russula densifolia,після відварювання (відвар злити).,true,низька.,
Russula adusta,для засолу після відварювання.,true,низька.,
Russula decolorans,"смажити, варити, солити; відварювання не обов'язкове.",false,середня.,
Russula obscura,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula xerampelina,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,
Russula claroflava,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula ochroleuca,не вживати.,false,неїстівний.,
Russula turci,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula puellaris,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula viscida,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula lilacea,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula pulchella,після відварювання (відвар злити).,true,низька.,
Russula olivacea,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,
Russula atropurpurea,після відварювання (відвар злити).,true,середня.,
Russula delica,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,
Russula lutea,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula mustelina,"смажити, варити; відварювання не обов'язкове.",false,висока.,
Russula mollis,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula aeruginosa,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula virescens,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,
Russula amoena,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula heterophylla,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula cyanoxantha,"смажити, варити; відварювання не обов'язкове.",false,висока.,
Russula grisea,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula roseipes,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula brunneoviolacea,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula melliolens,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula aurata,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula paludosa,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula curtipes,"смажити, варити; відварювання не обов'язкове.",false,середня.,
Russula vesca,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,
Russula alutacea,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,
Russula integra,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,
Russula fellea,не вживати.,false,неїстівний.,
Russula foetens,"тільки після тривалого відварювання (відвар злити), потім солити.",true,низька.,у сирому вигляді викликає блювання.
Russula farinipes,не вживати.,false,неїстівний.,
Russula consobrina,не вживати.,false,неїстівний.,
Russula pectinata,не вживати.,false,неїстівний.,
Russula maculata,не вживати.,false,неїстівна.,
Russula rubra,не вживати.,false,неїстівна.,
Russula sanguinea,не вживати.,false,неїстівна.,
Russula badia,не вживати.,false,неїстівна.,
Russula sardonia,не вживати.,false,неїстівна.,
Russula queletii,не вживати.,false,неїстівна.,
Russula rosea,"смажити, варити після відварювання (відвар злити); у молодому віці гіркувата.",true,низька.,
Russula pseudointegra,після тривалого відварювання (відвар злити) для усунення гіркоти; у їжу майже не вживають.,true,низька.,
Russula caerulea,"смажити, варити; перед приготуванням зняти гірку шкірку шапки та ніжки.",false,середня.,
Russula nauseosa,не вживати.,false,неїстівна.,
Tricholoma album,не вживати.,false,отруйна.,викликає шлункові розлади.
Tricholoma sulphureum,не вживати.,false,отруйна.,"викликає блювання, розлади ШКТ."
Tricholoma virgatum,не вживати.,false,отруйна.,гіркота не зникає після відварювання.
Tricholoma vaccinum,не вживати.,false,неїстівна.,через повстисту шапку легко відрізнити.
Tricholoma imbricatum,не вживати.,false,неїстівна.,черепичасті луски — головна ознака.
Tricholoma pessundatum,не вживати.,false,отруйна.,може викликати тяжкі шлункові розлади.
Tricholoma populinum,"смажити, варити, солити після відварювання; відвар злити.",true,середня.,"росте виключно під тополями, часто великими групами."
Tricholoma saponaceum,не вживати.,false,неїстівна.,запах мила — головна відмінність.
Tricholoma sejunctum,не вживати.,false,неїстівна.,гіркуватий смак.
Tricholoma orirubens,не вживати.,false,неїстівна.,м'якоть на зламі рожевіє.
Clitocybe nebularis,"після відварювання (відвар злити), потім смажити, солити, маринувати.",true,середня.,може викликати алергічні реакції; не вживати багато.
Clitocybe geotropa,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,"великі плодові тіла, добра їстівна говорушка."
Clitocybe gigantea,"смажити, варити, солити; відварювання не обов'язкове.",false,висока.,"найбільша говорушка, може досягати 40 см."
Clitocybe odora,"смажити, варити; відварювання не обов'язкове.",false,середня.,"сильний анісовий запах, який зберігається при приготуванні."
Clitocybe clavipes,не вживати.,false,неїстівна.,булавовидна ніжка — головна ознака.
Clitocybe infundibuliformis,"смажити, варити, солити; відварювання не обов'язкове.",false,середня.,"добра їстівна говорушка, часто зустрічається."
Clitocybe rivulosa,не вживати.,false,отруйна.,викликає тяжкі отруєння (мускариновий синдром).
Clitocybe phyllophila,не вживати.,false,отруйна.,"містить мускарин, смертельно небезпечна."
Clitocybe suaveolens,"смажити, варити; відварювання не обов'язкове.",false,середня.,приємний анісовий запах.
Clitocybe brumalis,не вживати.,false,неїстівна.,"росте пізно восени, іноді до морозів."
Collybia dryophila,"смажити, варити; відварювання не обов'язкове.",false,середня.,одна з найпоширеніших колібій.
Collybia peronata,не вживати.,false,неїстівна.,пекучо-гіркий смак.
Collybia confluens,"смажити, варити; відварювання не обов'язкове.",false,середня.,характерне зростання ніжок у щільні пучки.
Collybia maculata,не вживати.,false,неїстівна.,"гіркий смак, характерні плями на шапці."
Collybia butyracea,"смажити, варити; відварювання не обов'язкове.",false,середня.,характерний маслянистий запах.
Collybia fusipes,"смажити, варити в молодому стані; старі плодові тіла жорсткі.",false,середня.,веретеновидна ніжка з кореневидним виростом.
Mycena pura,не вживати.,false,отруйна.,містить мускарин; викликає тяжкі отруєння.
Mycena galericulata,не вживати.,false,неїстівна.,характерний ріст на пнях.
Mycena polygramma,не вживати.,false,неїстівна.,штрихувата шапка та рубчаста ніжка.
Mycena haematopus,не вживати.,false,неїстівна.,червоний сік при пошкодженні ніжки.
Mycena rosella,не вживати.,false,неїстівна.,через дрібні розміри та тонку м’якоть харчового значення не має.
Mycena epipterygia,не вживати.,false,неїстівна.,слизова оболонка може викликати подразнення шлунку.
Mycena inclinata,не вживати.,false,неїстівна.,часто утворює щільні пучки на пнях.
Mycena aetites,не вживати.,false,неїстівна.,аміачний запах — головна відмінність.
Mycena galopus,не вживати.,false,неїстівна.,білий сік — надійна діагностична ознака.
Mycena sanguinolenta,не вживати.,false,неїстівна.,червоний сік — головна відмінність.
Marasmius oreades,"смажити, варити, маринувати; відварювання не обов’язкове.",true,висока.,"ніжка жорстка, тому в їжу використовують переважно шапки."
Marasmius alliaceus,"смажити, варити; відварювання не обов’язкове; використовують як приправу.",true,середня.,часниковий запах зберігається навіть після сушіння.
Marasmius scorodonius,"смажити, варити; відварювання не обов’язкове; використовують як приправу.",true,середня.,сильний часниковий запах; через дрібні розміри збирають у великій кількості.
Marasmius prasiosmus,"смажити, варити; відварювання не обов’язкове; використовують як приправу.",true,середня.,сильний часниковий запах; росте на опалому листі дуба та бука.
Marasmius rotula,не вживати.,false,неїстівний.,колесовидне розташування пластинок — головна відмінність.
Marasmius epiphyllus,не вживати.,false,неїстівний.,дуже дрібні розміри + ріст на опалому листі.
Entoloma clypeatum,"смажити, варити; відварювання не обов’язкове, але бажане.",true,середня.,мікоризний симбіонт плодових дерев; росте навесні.
Entoloma rhodopolium,не вживати.,false,отруйна.,викликає тяжкі шлункові розлади; через схожість з їстівними ентоломами становить небезпеку.
Entoloma nidorosum,не вживати.,false,отруйна.,сильний аміачний запах — головна відмінність.
Entoloma sericeum,"смажити, варити; відварювання не обов’язкове, але бажане.",true,низька.,сильний запах борошна; росте пізно восени.
Entoloma jubatum,"смажити, варити після відварювання; відвар злити.",true,низька.,"росте на болотистих місцях, серед сфагнів."
Entoloma aprile,не вживати.,false,отруйна.,весняний ріст + рудо-коричнева шапка; викликає тяжкі шлункові розлади.
Pluteus cervinus,"смажити, варити; відварювання не обов’язкове.",true,середня.,вільні рожеві пластинки + ріст на деревині — головні відмінності; запах редьки зникає після приготування.
Pluteus salicinus,"смажити, варити після відварювання; відвар злити.",true,середня.,синювато-сіра шапка + зеленіючий м’якуш — головні відмінності; росте на деревині верби та вільхи.
Hygrophorus eburneus,"смажити, варити; відварювання не обов’язкове; перед приготуванням зняти слизьку шкірку.",true,середня.,дуже слизька шапка; слиз обов’язково видаляють.
Hygrophorus chrysodon,"смажити, варити; відварювання не обов’язкове.",true,висока.,золотисто-жовтий зернистий наліт на ніжці — головна відмінність.
Hygrophorus hypothejus,"смажити, варити; відварювання не обов’язкове; перед приготуванням зняти слизьку шкірку.",true,середня.,оливково-бура слизька шапка + лимонно-жовта ніжка.
Hygrophorus olivaceo-albus,"смажити, варити; відварювання не обов’язкове; перед приготуванням зняти слизьку шкірку.",true,середня.,оливкова шапка + кільцевидне потовщення на ніжці.
Hygrophorus russula,"смажити, варити; відварювання не обов’язкове; перед приготуванням зняти слизьку шкірку.",true,висока.,велика рожево-пурпурова шапка + почервоніння м’якуша в ніжці.
Hygrophorus pratensis,"смажити, варити; відварювання не обов’язкове.",true,середня.,рудувато-оранжева шапка + дуже рідкі пластинки.
Hygrophorus nemoreus,"смажити, варити; відварювання не обов’язкове.",true,середня.,рудувато-оранжева суха шапка + волокниста ніжка.
Hygrophorus camarophyllus,"смажити, варити; відварювання не обов’язкове.",true,середня.,велика коричнево-сіра шапка + підземний виріст.
Hygrophorus virgineus,"смажити, варити; відварювання не обов’язкове.",true,середня.,біла шапка + дуже рідкі пластинки.
Hygrophorus fornicatus,"смажити, варити; відварювання не обов’язкове.",true,середня.,конусовидна біла шапка + широкоприрослі пластинки.
Hygrophorus foetens,не вживати.,false,неїстівний.,дуже неприємний запах — головна відмінність.
Hygrophorus capreolarius,"смажити, варити; відварювання не обов’язкове.",true,середня.,винно-червоне забарвлення всього плодового тіла + сітчаста ніжка.
Hygrophorus marzuolus,"смажити, варити; відварювання не обов’язкове.",true,висока.,ранньовесняний ріст + сірувата шапка; один з найраніших їстівних грибів.
Hygrophorus penarius,"смажити, варити; відварювання не обов’язкове.",true,середня.,жовтувато-кремова шапка + кореневидний виріст.
Hygrophorus lucorum,"смажити, варити; відварювання не обов’язкове.",true,висока.,лимонно-жовта слизька шапка + ріст під модриною.
Coprinus comatus,"смажити, варити; вживати лише молоді плодові тіла (поки пластинки білі).",false,висока.,швидко псується; не вживати з алкоголем; пластинки розпливаються в чорну рідину.
Coprinus atramentarius,"смажити, варити після відварювання; вживати лише молоді плодові тіла.",true,середня.,не вживати з алкоголем — викликає антабусоподібну реакцію.
Coprinus micaceus,"смажити, варити; вживати лише молоді плодові тіла.",false,середня.,блискучі зернятка на шапці — головна відмінність; не вживати з алкоголем.
Coprinus radians,не вживати.,false,неїстівний.,оранжеве забарвлення + волокнисті луски.
Coprinus lagopus,не вживати.,false,неїстівний.,волосиста ніжка + дрібні розміри.
Hypholoma fasciculare,не вживати.,false,отруйний.,"викликає блювання, пронос, розлади ШКТ."
Hypholoma capnoides,"смажити, варити; відварювання не обов’язкове.",true,середня.,димчасто-сірі пластинки + відсутність гіркоти — головні відмінності.
Stropharia aeruginosa,не вживати.,false,неїстівний.,синьо-зелене забарвлення + слизька шапка.
Pholiota squarrosa,"смажити, варити після відварювання; відвар злити.",true,середня.,відстовбурчені луски на шапці — головна відмінність.
Pholiota aurivella,"смажити, варити після відварювання; відвар злити.",true,середня.,золотисто-жовта шапка + іржаві луски.
Cortinarius violaceus,"смажити, варити; відварювання не обов’язкове.",true,середня.,темно-фіолетове забарвлення всього плодового тіла + кортина.
Cortinarius armillatus,"смажити, варити; відварювання не обов’язкове.",true,середня.,червоні кільця (браслети) на ніжці — головна відмінність.
Cortinarius triumphans,"смажити, варити; відварювання не обов’язкове.",true,середня.,жовтувато-оранжева слизька шапка + ріст під березою.
Inocybe rimosa,не вживати.,false,отруйний.,містить мускарин; викликає тяжкі отруєння.
Inocybe fastigiata,не вживати.,false,отруйний.,містить мускарин; викликає тяжкі отруєння.
Macrolepiota rhacodes,"смажити, варити; відварювання не обов’язкове.",true,середня.,почервоніння м’якуша на зламі — головна відмінність.
Lepiota clypeolaria,не вживати.,false,неїстівний.,дрібні луски на шапці + кільце.
Lepiota cristata,не вживати.,false,отруйний.,червонувато-коричневі луски + отруйна.
Lepiota felina,не вживати.,false,неїстівний.,чорнуваті луски на білому фоні.
Lepiota lilacea,не вживати.,false,неїстівний.,лілуватий відтінок шапки — головна відмінність.
Lyophyllum decastes,"смажити, варити; відварювання не обов’язкове.",true,висока.,великі групи + зрослі ніжки.
Lyophyllum connatum,"смажити, варити; відварювання не обов’язкове.",true,середня.,білі плодові тіла + зрослі основами.
Lyophyllum ulmarium,"смажити, варити; відварювання не обов’язкове.",true,середня.,велика шапка + ріст на стовбурах в’яза.
Lyophyllum loricatum,"смажити, варити після відварювання; відвар злити (через гіркуватість).",true,середня.,панцирна поверхня шапки.
Lyophyllum immundum,"смажити, варити; відварювання не обов’язкове.",true,середня.,почорніння м’якуша та пластинок на повітрі.
Pleurotus cornucopiae,"смажити, варити; відварювання не обов’язкове.",true,середня.,"рясні пластинки, що низько спускаються."
Pleurotus calyptratus,"смажити, варити; відварювання не обов’язкове.",true,середня.,сидяча шапка + ріст на тополі.
Pleurotus eryngii,"смажити, варити; відварювання не обов’язкове.",true,висока.,росте на кореневищі зонтичних; рідкісний вид.
Lentinus tigrinus,"смажити, варити (лише молоді плодові тіла); відварювання не обов’язкове.",true,середня.,тигрові луски на шапці — головна відмінність.
Lentinus cyathiformis,"смажити, варити (лише молоді плодові тіла); відварювання не обов’язкове.",true,середня.,велика бокаловидна шапка.
Lentinus lepideus,"смажити, варити (лише молоді плодові тіла); відварювання не обов’язкове.",true,середня.,великі коричневі луски + ріст на хвойних.
Schizophyllum commune,не вживати.,false,неїстівний.,поздовжньо розщеплені пластинки — головна відмінність.
Volvariella speciosa,"смажити, варити; відварювання не обов’язкове.",true,середня.,велика шапка + вільна піхва (без кільця).
Volvariella bombycina,"смажити, варити; відварювання не обов’язкове.",true,середня.,велика біла волокниста шапка + ріст на деревині.
Pluteus atromarginatus,"смажити, варити; відварювання не обов’язкове.",true,середня.,темний край пластинок + ріст на соснових пнях.
